,fit_time,score_time,test_precision,test_recall,test_f1,test_balanced_accuracy,test_roc_auc,model
0,0.03495025634765625,0.010303020477294922,0.5,1.0,0.6666666666666666,0.75,0.8055555555555556,AdaBoostClassifier
1,0.033963918685913086,0.009690046310424805,0.3333333333333333,0.2,0.25,0.5166666666666667,0.8,AdaBoostClassifier
2,0.03374505043029785,0.009633064270019531,0.6666666666666666,0.8,0.7272727272727272,0.8166666666666667,0.8916666666666667,AdaBoostClassifier
3,0.03505587577819824,0.010761260986328125,0.5,0.3333333333333333,0.4,0.5757575757575758,0.7348484848484849,AdaBoostClassifier
4,0.03412914276123047,0.009684085845947266,0.6,0.5,0.5454545454545454,0.6590909090909092,0.7803030303030303,AdaBoostClassifier
5,0.033586978912353516,0.009565114974975586,0.3333333333333333,0.5,0.4,0.5,0.6527777777777778,AdaBoostClassifier
6,0.033579111099243164,0.009566068649291992,0.5,0.4,0.4444444444444445,0.6166666666666667,0.6833333333333333,AdaBoostClassifier
7,0.03345489501953125,0.009597063064575195,1.0,0.4,0.5714285714285715,0.7,0.8833333333333334,AdaBoostClassifier
8,0.0334322452545166,0.00952601432800293,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8712121212121212,0.9318181818181818,AdaBoostClassifier
9,0.033925771713256836,0.010539054870605469,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.48484848484848486,0.5757575757575758,AdaBoostClassifier
10,0.03413105010986328,0.009802818298339844,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.625,0.8194444444444444,AdaBoostClassifier
11,0.03403282165527344,0.009897232055664062,0.3333333333333333,0.4,0.3636363636363636,0.5333333333333333,0.6416666666666666,AdaBoostClassifier
12,0.033712148666381836,0.009720087051391602,0.4,0.4,0.4000000000000001,0.575,0.6,AdaBoostClassifier
13,0.033640146255493164,0.009621858596801758,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.8257575757575758,0.9242424242424242,AdaBoostClassifier
14,0.03356003761291504,0.009631872177124023,1.0,0.6666666666666666,0.8,0.8333333333333333,0.9015151515151515,AdaBoostClassifier
15,0.03366208076477051,0.009798765182495117,0.75,0.5,0.6,0.7083333333333333,0.8680555555555556,AdaBoostClassifier
16,0.0337679386138916,0.009654045104980469,0.75,0.6,0.6666666666666665,0.7583333333333333,0.8500000000000001,AdaBoostClassifier
17,0.03361701965332031,0.009618759155273438,0.45454545454545453,1.0,0.625,0.75,0.9416666666666668,AdaBoostClassifier
18,0.03364872932434082,0.009613037109375,0.4,0.3333333333333333,0.3636363636363636,0.5303030303030303,0.6818181818181819,AdaBoostClassifier
19,0.03352999687194824,0.009597063064575195,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8712121212121212,0.8712121212121212,AdaBoostClassifier
20,0.0335240364074707,0.009566068649291992,0.5,0.8333333333333334,0.625,0.7083333333333334,0.6597222222222222,AdaBoostClassifier
21,0.03349590301513672,0.009586095809936523,0.5714285714285714,0.8,0.6666666666666666,0.775,0.8166666666666667,AdaBoostClassifier
22,0.033431053161621094,0.009572267532348633,0.75,0.6,0.6666666666666665,0.7583333333333333,0.8749999999999999,AdaBoostClassifier
23,0.033445119857788086,0.009598016738891602,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.49242424242424243,0.7575757575757576,AdaBoostClassifier
24,0.03338789939880371,0.009606122970581055,0.6,0.5,0.5454545454545454,0.6590909090909092,0.803030303030303,AdaBoostClassifier
25,0.03348207473754883,0.009597063064575195,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.8333333333333334,0.8958333333333334,AdaBoostClassifier
26,0.03351998329162598,0.009607076644897461,0.0,0.0,0.0,0.4583333333333333,0.7083333333333334,AdaBoostClassifier
27,0.03352689743041992,0.009589195251464844,0.375,0.6,0.4615384615384615,0.5916666666666667,0.7833333333333332,AdaBoostClassifier
28,0.03361201286315918,0.010218143463134766,0.5,0.5,0.5,0.6136363636363636,0.696969696969697,AdaBoostClassifier
29,0.033924102783203125,0.009731054306030273,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.8257575757575758,0.9166666666666667,AdaBoostClassifier
30,0.03348398208618164,0.009644031524658203,0.5,0.5,0.5,0.625,0.7222222222222223,AdaBoostClassifier
31,0.034949302673339844,0.01045083999633789,0.75,0.6,0.6666666666666665,0.7583333333333333,0.875,AdaBoostClassifier
32,0.03356313705444336,0.009546995162963867,0.5,0.4,0.4444444444444445,0.6166666666666667,0.7916666666666667,AdaBoostClassifier
33,0.03342485427856445,0.009551763534545898,0.75,0.5,0.6,0.7045454545454546,0.8333333333333333,AdaBoostClassifier
34,0.03333592414855957,0.009509086608886719,0.5,0.5,0.5,0.6136363636363636,0.7424242424242424,AdaBoostClassifier
35,0.03332090377807617,0.009507179260253906,0.375,0.5,0.42857142857142855,0.5416666666666667,0.7013888888888888,AdaBoostClassifier
36,0.033442020416259766,0.009650945663452148,0.6,0.6,0.6,0.7166666666666667,0.8,AdaBoostClassifier
37,0.03342008590698242,0.009540081024169922,0.75,0.6,0.6666666666666665,0.7583333333333333,0.8083333333333333,AdaBoostClassifier
38,0.03338479995727539,0.009525060653686523,0.5,0.6666666666666666,0.5714285714285715,0.6515151515151515,0.6818181818181819,AdaBoostClassifier
39,0.03333926200866699,0.009528875350952148,0.8,0.6666666666666666,0.7272727272727272,0.7878787878787878,0.8787878787878788,AdaBoostClassifier
40,0.03340601921081543,0.009501218795776367,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.6666666666666667,0.7777777777777778,AdaBoostClassifier
