Repeat,Feature,Score,Tumor type,Cohort
Repeat12,ENO1,0.05714285714285716,LC,discovery
Repeat14,ENO1,0.06428571428571428,LC,discovery
Repeat25,ENO1,0.030952380952380842,LC,discovery
Repeat32,ENO1,0.06904761904761902,LC,discovery
Repeat90,ENO1,0.07619047619047603,LC,discovery
Repeat33,ENO1,0.04047619047619044,LC,discovery
Repeat16,ENO1,0.05714285714285705,LC,discovery
Repeat18,ENO1,0.06904761904761902,LC,discovery
Repeat81,ENO1,0.04047619047619033,LC,discovery
Repeat74,ENO1,0.05476190476190468,LC,discovery
Repeat29,ENO1,0.030952380952380842,LC,discovery
Repeat38,ENO1,0.06904761904761902,LC,discovery
Repeat91,ENO1,0.09047619047619038,LC,discovery
Repeat31,ENO1,0.08095238095238078,LC,discovery
Repeat83,ENO1,0.06904761904761902,LC,discovery
Repeat82,ENO1,0.08095238095238078,LC,discovery
Repeat17,ENO1,0.030952380952380842,LC,discovery
Repeat30,ENO1,0.052380952380952306,LC,discovery
Repeat80,ENO1,0.08095238095238089,LC,discovery
Repeat34,ENO1,0.07380952380952377,LC,discovery
Repeat28,ENO1,0.07380952380952377,LC,discovery
Repeat84,ENO1,0.06190476190476191,LC,discovery
Repeat15,ENO1,0.04047619047619044,LC,discovery
Repeat92,ENO1,0.059523809523809534,LC,discovery
Repeat35,ENO1,0.0714285714285714,LC,discovery
Repeat27,ENO1,0.05476190476190468,LC,discovery
Repeat19,ENO1,0.06904761904761902,LC,discovery
Repeat79,ENO1,0.03809523809523807,LC,discovery
Repeat36,ENO1,0.08095238095238089,LC,discovery
Repeat26,ENO1,0.04523809523809519,LC,discovery
Repeat85,ENO1,0.03571428571428559,LC,discovery
Repeat78,ENO1,0.06428571428571428,LC,discovery
Repeat37,ENO1,0.07619047619047614,LC,discovery
Repeat93,ENO1,0.06190476190476191,LC,discovery
Repeat89,ENO1,0.042857142857142705,LC,discovery
Repeat62,ENO1,0.05952380952380942,LC,discovery
Repeat42,ENO1,0.07619047619047614,LC,discovery
Repeat22,ENO1,0.05714285714285716,LC,discovery
