,0,1,accuracy,macro avg,weighted avg
precision,0.9152542372881356,0.8518518518518519,0.8953488372093024,0.8835530445699937,0.8946116001693455
recall,0.9310344827586207,0.8214285714285714,0.8953488372093024,0.8762315270935961,0.8953488372093024
f1-score,0.923076923076923,0.8363636363636364,0.8953488372093024,0.8797202797202797,0.8948446901935274
support,58.0,28.0,0.8953488372093024,86.0,86.0
