,fit_time,score_time,test_precision,test_recall,test_f1,test_balanced_accuracy,test_roc_auc,model
0,0.0362701416015625,0.010664939880371094,0.625,0.8333333333333334,0.7142857142857143,0.7916666666666667,0.861111111111111,AdaBoostClassifier
1,0.035086870193481445,0.009897947311401367,0.6,0.6,0.6,0.7166666666666667,0.6833333333333333,AdaBoostClassifier
2,0.035391807556152344,0.009835004806518555,0.6,0.6,0.6,0.7166666666666667,0.8166666666666667,AdaBoostClassifier
3,0.03464794158935547,0.009656190872192383,0.6,0.5,0.5454545454545454,0.6590909090909092,0.8030303030303031,AdaBoostClassifier
4,0.03453803062438965,0.00962686538696289,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.8257575757575758,0.8484848484848485,AdaBoostClassifier
5,0.03443789482116699,0.009582042694091797,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.8055555555555555,AdaBoostClassifier
6,0.034581899642944336,0.009543180465698242,0.6666666666666666,0.8,0.7272727272727272,0.8166666666666667,0.9333333333333333,AdaBoostClassifier
7,0.03430008888244629,0.00956416130065918,0.75,0.6,0.6666666666666665,0.7583333333333333,0.9166666666666666,AdaBoostClassifier
8,0.03427886962890625,0.009571075439453125,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.696969696969697,0.6666666666666666,AdaBoostClassifier
9,0.0343019962310791,0.00957798957824707,0.25,0.16666666666666666,0.2,0.44696969696969696,0.5606060606060606,AdaBoostClassifier
10,0.03431129455566406,0.009637832641601562,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.6527777777777778,AdaBoostClassifier
11,0.03430604934692383,0.009551763534545898,0.6666666666666666,0.4,0.5,0.6583333333333333,0.5833333333333334,AdaBoostClassifier
12,0.03445696830749512,0.009557962417602539,0.6,0.6,0.6,0.7166666666666667,0.7833333333333333,AdaBoostClassifier
13,0.03421807289123535,0.009551048278808594,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667,0.9924242424242424,AdaBoostClassifier
14,0.03425097465515137,0.00952005386352539,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.8257575757575758,0.8030303030303031,AdaBoostClassifier
15,0.03664112091064453,0.009996891021728516,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.75,AdaBoostClassifier
16,0.03462386131286621,0.009628057479858398,0.5,0.4,0.4444444444444445,0.6166666666666667,0.8500000000000001,AdaBoostClassifier
17,0.03435397148132324,0.009576082229614258,0.625,1.0,0.7692307692307693,0.875,0.95,AdaBoostClassifier
18,0.034336090087890625,0.009604930877685547,0.75,0.5,0.6,0.7045454545454546,0.7272727272727273,AdaBoostClassifier
19,0.03432202339172363,0.009618043899536133,0.5,0.6666666666666666,0.5714285714285715,0.6515151515151515,0.8181818181818181,AdaBoostClassifier
20,0.03449392318725586,0.009620904922485352,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.7083333333333333,0.7361111111111113,AdaBoostClassifier
21,0.03427577018737793,0.009591102600097656,0.625,1.0,0.7692307692307693,0.875,0.9333333333333333,AdaBoostClassifier
22,0.034249067306518555,0.009584188461303711,0.6,0.6,0.6,0.7166666666666667,0.8666666666666667,AdaBoostClassifier
23,0.03429913520812988,0.009583711624145508,1.0,0.5,0.6666666666666666,0.75,0.6893939393939393,AdaBoostClassifier
24,0.03425407409667969,0.009778976440429688,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8712121212121212,0.7727272727272727,AdaBoostClassifier
25,0.03432202339172363,0.009596824645996094,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.8333333333333334,0.9305555555555556,AdaBoostClassifier
26,0.03427624702453613,0.009584903717041016,0.6666666666666666,0.8,0.7272727272727272,0.8166666666666667,0.8666666666666667,AdaBoostClassifier
27,0.034262895584106445,0.009577035903930664,0.6666666666666666,0.8,0.7272727272727272,0.8166666666666667,0.9666666666666667,AdaBoostClassifier
28,0.034255027770996094,0.009595870971679688,0.6,0.5,0.5454545454545454,0.6590909090909092,0.7196969696969697,AdaBoostClassifier
29,0.034448862075805664,0.009584903717041016,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7424242424242424,0.803030303030303,AdaBoostClassifier
30,0.034227848052978516,0.009619951248168945,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.7777777777777778,AdaBoostClassifier
31,0.03422999382019043,0.009570121765136719,0.6666666666666666,0.8,0.7272727272727272,0.8166666666666667,0.9166666666666667,AdaBoostClassifier
32,0.03418707847595215,0.009596824645996094,0.8,0.8,0.8000000000000002,0.8583333333333334,0.9,AdaBoostClassifier
33,0.034243106842041016,0.009593963623046875,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.8257575757575758,0.8636363636363635,AdaBoostClassifier
34,0.03442788124084473,0.009621143341064453,0.5,0.16666666666666666,0.25,0.5378787878787878,0.5303030303030303,AdaBoostClassifier
35,0.03418111801147461,0.009618997573852539,0.75,0.5,0.6,0.7083333333333333,0.7708333333333333,AdaBoostClassifier
36,0.0341949462890625,0.009563207626342773,0.6666666666666666,0.8,0.7272727272727272,0.8166666666666667,0.95,AdaBoostClassifier
37,0.034152984619140625,0.009589910507202148,0.5,0.6,0.5454545454545454,0.675,0.9,AdaBoostClassifier
38,0.03424501419067383,0.009764909744262695,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7424242424242424,0.7424242424242423,AdaBoostClassifier
39,0.034185171127319336,0.009577035903930664,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667,0.8484848484848485,AdaBoostClassifier
