,0,1,accuracy,macro avg,weighted avg
precision,0.9830508474576272,1.0,0.9883720930232558,0.9915254237288136,0.9885691761923531
recall,1.0,0.9642857142857143,0.9883720930232558,0.9821428571428572,0.9883720930232558
f1-score,0.9914529914529915,0.9818181818181818,0.9883720930232558,0.9866355866355867,0.9883160766881698
support,58.0,28.0,0.9883720930232558,86.0,86.0
