,0,1,accuracy,macro avg,weighted avg
precision,0.95,0.9615384615384616,0.9534883720930233,0.9557692307692307,0.9537567084078711
recall,0.9827586206896551,0.8928571428571429,0.9534883720930233,0.937807881773399,0.9534883720930233
f1-score,0.9661016949152542,0.9259259259259259,0.9534883720930233,0.9460138104205901,0.9530212119884962
support,58.0,28.0,0.9534883720930233,86.0,86.0
