,0,1,accuracy,macro avg,weighted avg
precision,0.8,0.5483870967741935,0.7093023255813954,0.6741935483870968,0.71807951987997
recall,0.7586206896551724,0.6071428571428571,0.7093023255813954,0.6828817733990147,0.7093023255813954
f1-score,0.7787610619469026,0.5762711864406779,0.7093023255813954,0.6775161241937903,0.7128341257355737
support,58.0,28.0,0.7093023255813954,86.0,86.0
