Gene,C2_mean,C1_mean,C3_mean,C5_mean,C4_mean
SERPINA3,28.26224165872881,28.380101348808267,28.265472890653964,28.144519804146334,28.012414140787392
SERPINA4,23.54565529733049,23.28741151766839,23.483858854768386,23.698538690121957,23.64017295811026
SERPINA5,23.445050007923722,23.29795278585493,23.313037671721307,23.36718810445121,23.563680803070866
SERPINA6,25.184011685254248,25.17713455865285,25.09627044991827,25.057952384817078,25.257855552598446
SERPINC1,27.437510449279657,27.354803957409334,27.483498718746592,27.61426470512195,27.559947976141725
SERPIND1,24.553119517499983,24.330294213678744,24.457199899128057,24.246995708170733,24.42535346204725
SERPINF1,24.753966026864408,24.73389816414507,24.698955274686647,24.766269820182927,24.80759686779527
SERPINF2,25.46048643817796,25.278050939689138,25.399981968828325,25.147861220182925,25.458198869212584
SERPING1,27.94609314533899,28.006121288963737,28.006008159509516,27.933706368841456,27.81315986929135
SHBG,20.134733547381984,20.424641288281247,19.692850638282543,19.58167547243749,19.634983280243894
SLC38A10,16.578330670642195,16.802526157828574,16.53302960246795,16.670803834113467,16.33289099722222
SLC3A2,17.965791066985645,17.97894826954285,17.85282075517788,17.89469938772727,17.598706748660714
SOD1,18.294913911843576,18.37745662775147,18.259899128367355,18.686797790389612,18.346776394946236
SOD2,18.326415529027777,18.732064121382983,18.224344970774414,18.38472894201343,17.95320419182609
SPG11,22.86338023648147,22.717533071137733,23.07419903773109,22.29928603669421,22.819028906463416
SPP1,17.913861615247527,18.768103359774006,18.310695321880566,17.973810915222938,17.849932799166666
Serine/threonine-protein,27.1878393570339,27.210735083316038,27.26340522850136,26.717306540914645,27.201830386850403
TALDO1,17.533303606071442,18.06736174201184,17.444077463478276,18.332956702483234,17.281691031649487
TFRC,21.088617062542372,20.973548899222802,20.75640616509536,20.567163676625768,21.139485570787397
TGFBI,21.03085902211864,21.247723103160624,21.028762770980915,21.087582674451205,21.01254382480315
THBS1,20.833796100515016,20.76403547492064,20.64338767917126,20.08063752283871,20.0657739595122
TIMM44,24.201710062884615,24.04026356068572,24.088609889548028,23.948936997803035,24.118926208482144
TIMP1,19.12771592995392,19.657859377569057,18.97503733818463,19.249165658865245,18.491143839729734
TMSB4X,21.337724562256625,21.391344809144375,21.353288529416666,21.199250908874994,19.981217673300968
TNC,20.691261217692308,20.76322063531249,20.114063668864276,20.211572539146346,20.26545213088
TPM2,20.351516093260866,20.309925042919254,20.34420738496875,20.367127484859136,19.3701718171875
TTR,26.03431808453389,25.77173679093264,26.13348155523157,25.922740400914634,26.34941954220472
TXN,18.45857057080952,18.60308116502703,18.68340647730205,18.912328551518996,18.33785537669725
VASN,21.0387296859322,21.10711151119171,20.840310225286103,20.92111112128049,21.018253018031494
VCAM1,21.505331281144066,21.953871378341965,21.172038179861875,20.733621166707326,21.156601954682547
VCL,19.87028931068494,20.06092079433333,19.666826792259883,19.655218737600002,18.612751855227266
VTN,27.953145116652557,27.863169667564772,27.98594733645778,27.9116201180488,28.017158455275585
VWF,21.992031116313562,22.12023323652849,21.45339596822224,21.556161557839513,21.79968978696001
WIF1,23.214630860558398,23.34634291091464,23.18052438345163,23.01213152676258,23.466321720176985
YWHAQ,19.685479079952593,20.017438368611113,19.90947803316715,19.889500461962022,18.67988624786408
ZNF512B,20.48054426042919,20.528485013315787,20.284935183580238,20.534626805838514,20.30263537910569
