,TF,Drug targets,Enzymes,Transporters,Annotation,ML_T,ML_T,ML_T,ML_T,ML_T,ML_T,ML_T,ML_T,ML_T,ML_T,ML_N,ML_N,ML_N,ML_N,ML_N,ML_N,ML_N,ML_N,ML_N,ML_N
ALDOA,0,0,1,0,2,-0.5124710385735995,2.192298162948263,-0.7652926813179546,-0.7246861832433414,0.5244797055989622,1.6239138504700255,2.089395330399205,0.5175763055585555,0.33445324059320314,0.6788585683993991,-0.2435649824239522,-0.2930193847100869,-0.382200745631411,-0.5083309676675035,-0.7691062067978464,-1.0274758399240924,-0.7796491935484079,-1.2590753118287576,-1.079393280826973,0.3832906525263092
FN1,0,1,0,0,3,-0.6029549871021023,0.17178788772002046,0.8030522852239571,0.1898079795061257,3.9418384688791517,0.39564016284031495,-0.3023283514349592,0.1636040762878343,-0.5150747265149339,0.1935857525163053,-0.5808691673253968,-0.059068565077441064,-0.6166704791524855,-0.6180104514761482,-0.6933368565816763,-0.30394646209198284,-0.5681320677653068,-0.7884487138362303,0.18429102385851848,-0.39476680847356116
GAPDH,0,1,1,0,2,-0.6898019089541346,0.25992161523882135,-0.33897572122726916,0.20309553588002582,1.6764631690113432,0.7451542976623563,-0.20301674886825438,1.2056574026912432,2.9718630789689318,-0.5620982255980002,-0.9162552150018406,-0.656042465337796,-0.7341296059816771,-0.40136939836067514,-1.037475552778253,0.5628359416081659,0.03876140860347365,-1.2138991728159432,-0.5951632481758858,-0.31552518656462625
ICAM1,1,1,0,0,5,0.31254383799852475,0.12049451539506298,0.6810296715268048,0.35257367846782806,0.3051091657705993,1.6721497392169191,-0.8684734103343362,3.026786148998753,-0.3397508253673488,0.6807948924038176,-0.9002859814990907,-1.0854484498282635,-0.9134336123863693,0.5032627455717258,-0.8175654704999632,-0.045259545433841794,-0.7126974622323842,-1.1408563228532234,-0.33075095898617607,-0.5002223559290434
TFRC,1,1,1,0,6,-0.26517197992585495,-0.318866314946847,-0.3534247065642351,0.3346423942134986,-0.12270074697726364,-0.2594614659510526,4.239515474804817,0.5303871486128638,-0.2175093060779896,-0.17800081798987755,-0.37683892126505675,-0.30544457686515253,-0.38869183682620106,-0.3711394813315759,-0.37099182744728887,-0.2758731951895601,-0.37989535666979907,-0.3885368002476997,-0.2777963870323992,-0.25420129632332583
