,TF,Drug targets,Enzymes,Transporters,Annotation,ML_T,ML_T,ML_T,ML_T,ML_T,ML_T,ML_T,ML_T,ML_T,ML_T,ML_N,ML_N,ML_N,ML_N,ML_N,ML_N,ML_N,ML_N,ML_N,ML_N,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Lymph_benign,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control,Healthy control
ALDOA,0,0,1,0,2,-0.5124710385735995,2.192298162948263,-0.7652926813179546,-0.7246861832433414,0.5244797055989622,1.6239138504700255,2.089395330399205,0.5175763055585555,0.33445324059320314,0.6788585683993991,-0.2435649824239522,-0.2930193847100869,-0.382200745631411,-0.5083309676675035,-0.7691062067978464,-1.0274758399240924,-0.7796491935484079,-1.2590753118287576,-1.079393280826973,0.3832906525263092,-1.0335119541117652,-0.05883689155672131,0.351555575492262,0.6715503139820967,0.13943099775371773,0.40027592392143596,-0.23989141323099955,0.3041632271531254,0.1603570908715702,-0.1482597993393115,0.052926933058887134,0.16074092553381666,-0.10742411042736569,0.24702752979140233,0.5042376031511443,-1.109020447977843,0.013966435271423095,-0.6871421780194564,-0.49694449185225004,0.2009550936967921,-0.6732238348585959,-0.9021363716308491,-0.5093168433437383,-0.8895729478070237,1.2799683367614787,1.2927289048374806,0.37711240077151065,1.1023692142961297,1.0716413646325496,0.534837640712831,0.5051435142768126,-1.007016099790196,-0.2663895611206997,1.1414804115811394,-0.029574849213553033,-1.1890718122388222,0.2577969125526059,1.1072719515663183,0.10458604844002449,0.43636733697814806,1.1038502738446045,-1.0245260438926695,-0.24734697029394648,0.9464031230033279,1.663007076544136,-0.7924450272488326,0.26305915455574747,0.01169475261004252,-0.38182968573467685,1.7824740307951974,-0.5476339409494132,-0.18176630075656486,-0.0782261914205456,-0.7350960401224397,0.14035743631414668,0.30249705854945147,-0.6123493800169059,-0.5503964532262992,-0.39559270001179336,-0.6968662127841062,-0.22184791878874957,-0.5796816787146974,-0.36137057515948184,0.6697400187642801,1.6997977321308941,-0.7537187751958981,-1.1126604009570573,-0.4453590120794944,1.7883163946425635,-0.1812145044787444,-0.8527053369738008,-0.9770234835691862,0.6918415474415924,1.519914499486323,-0.23628938259010218,-0.344551918527067,-0.806722947571113,-0.8687035239290937,-1.1336293475847066,0.18091079302500676,-0.6481472103172821,-0.6022481559018816,-0.7951575699190144,1.9115290474350375,0.31182132438905796,0.0038535139589377628,0.32576050280566893,1.8133049763462168,-0.09680065292057374,-0.3818179040373367,1.0307862829984944,-0.5311060846130474,0.44293734135043145,0.1892824675917975,-0.02691384543353172,0.09280727841626091,0.05327675048434245,0.9174209382219463,-0.7371751113465529,-0.434666029279839,-0.41394962261040796,0.27930473301237824,1.8456226067233328,1.8358453370352463,1.95236769384273,1.7093876957669392,1.6631353111454201,1.616902258888954,-0.057384724930977536,-0.15669461342243693,1.6093654310500378,-0.11436093480779382,1.3766354010181978,1.4925922725675482,1.3867850073493515,1.5193326212517655,-0.337098902496182,1.5075252540548465,1.3866858588133786,1.4299310979741342,0.15545265153240181,-0.2611963313754478,-0.3712757836992789,0.060531252157878884,-0.3865476036635355,-0.23807832951719435,0.2319627586722204,0.16151827009439076,-0.5114461316384845,-0.24423414566374535,-0.5881716772541681,1.630325511226153,-2.1632344494237055,,-0.7369685996792765,-0.1804862241690317,,,,,,,-0.6674668400313071,,0.37638833942001537,,,,0.28393495817450015,,-0.26290892059093024,,-0.20720552634780393,,-2.602184670435928,0.6982188317339093,,-0.3769855430945016,,0.6152197857837882,0.5674384663969371,0.5455903528551552,,,,0.164963758674718,,-0.5373157996106528,-0.05340733979421139,-0.5761578768541457,,1.8565356392779353,-2.6297617308810515,-2.306417803493819,-0.06366950599919131,-0.217004518540363,-0.569528004317966,-0.3619756546463854,0.08825982692080588,-0.3908867871013835,-0.35728600796258037,0.45186102948044526,-0.49572550867685156,0.11522416667573036,1.310530476127673,-0.16537771229132858,1.3062613611961926,-0.18995909511633932,1.528078105173793,1.3348553837144093,1.481587962037081,0.05671526782469593,0.10323665780932437,1.4338265785858417,1.3580444137562218,-0.29578447952276266,1.3599026204051323,1.4488689451658188,-0.0694325486034972,-0.1671518475968671,-2.1158729918258548,-0.025561177414687084,-0.0732185716940567,-2.031675073671411,-0.1284254627584091,-1.435715706937964,-0.26472215519737735,-0.27070626759087624,-0.23519466252169927,-0.20687783581909827,-0.22989872920987264,-0.6917236648588188,0.9467535681421666,-0.283568778734548,-0.36261588608273126,1.5229596578209863,-0.20232815111256902,-0.5260993823138135,1.42429590972166,-0.30724046604647604,-0.10692819874774066,1.1739227456717622,-0.1931008790620342,-0.32540096264188056,-0.7780691293174649,-0.5741975158878729,0.10656652641308136,1.4015609458125138,-0.4840328319578378,-0.5531305312940796,1.2805619242649093,-0.7761922783739438,-0.26349060568290733,-0.5589162621157535,-0.4308191360982514,-0.8981562583551468,-0.5959029875990894,-0.4410716089600296,-0.463075093635496,1.4405604161510688,1.7291144458954317,0.006859796313799139,-0.21791047795167587,-0.3556444952163037,-0.1560411939693444,1.465285146984199,-0.27558125872239936,-0.1957113338076125,-0.022032341775662333,-0.11140720534163699,-0.26772787019590993,-0.1409326760559352,-1.43059904011831,-0.09959906557439886,-1.70324728352449,0.09296788854241088,0.2167662703496194,0.059032954634198144,0.15627785923842547,0.055896910644534684,-0.1486946779638586,0.029345847723795834,0.037700634386304555,-0.3787031238385207,-0.3802534793230462,-0.4140793238881533,-0.1754525120872149,0.09753878271843698,-0.14237284369893624,0.08874904500291433,-0.39377431091275983,-0.1931008790620342,-0.42247162849670206,-0.20575319675801035,-0.34755364392419696,-0.7737662506488306,-0.3216041114954639,-0.1931008790620342,-2.358924277620548,0.17903490175867476,-1.7809516757323713,0.7231447748847938,-1.4415340245342003,0.7227999007022283,0.7805184601185202,-1.8531572926701567,0.9231193384192218,0.9815345691549736,1.1334036053759755,0.38756449252476444,-1.4578661127592656,-1.167174827588757,0.7701506147441027,-1.9423938118279584,-1.8240498911402943,-1.5785257646878172,-0.34553200243891535,0.2291344451328286,-0.426549496060383,-0.6583494661084295,-0.4979705678408078,-0.39751914634827235,0.3926023149220995,2.065708744904219,-0.1931008790620342,2.149617426010366,2.361085095657979,-0.09453401610908045,-0.46265668041584,2.2103232673802746,2.4415103779168943,-1.8951431637493121,0.3874415029516518,-0.3779776018462683,0.13868317986496187,-0.40554982769120335,-0.1312331764345713,-0.829372983066691,-0.3175838004204342,-0.7068267808157106,-0.790312057173665,-0.9162416104157699,-0.8449161140336002,-0.4722188616989853,-0.634549363124047,-0.1938965299177091,1.9271845149546663,2.04972111439803,-0.2720685625601597,2.2974886643382466,2.4169095359770134,1.6432484458186376,1.9974919628367345,1.9882495351294238,0.2105403917324045,-1.915084368533656,-2.072448938850846,-2.3191086410629675,-2.0703813475387935,-1.627385393059533,0.15663462376103013,-1.879423566857629,-2.544288600917792,0.23588542410197277,0.21360418229027045,0.36354127364698896,0.2048648910021956,0.23890648186415547,0.25558072216855826,0.03971507527479758,-2.3392708975293903,0.7110419357556848,0.6394754698629406,-2.223468292579597,-1.8860751739696937,-2.2014517587086138,-0.2501646187415331,0.032453976575035834,-0.1931008790620342,0.5924984444621895
FN1,0,1,0,0,3,-0.6029549871021023,0.17178788772002046,0.8030522852239571,0.1898079795061257,3.9418384688791517,0.39564016284031495,-0.3023283514349592,0.1636040762878343,-0.5150747265149339,0.1935857525163053,-0.5808691673253968,-0.059068565077441064,-0.6166704791524855,-0.6180104514761482,-0.6933368565816763,-0.30394646209198284,-0.5681320677653068,-0.7884487138362303,0.18429102385851848,-0.39476680847356116,-0.4989877746904479,0.981223812823103,0.3295429607107958,-0.5423319462767457,-0.12239984910710205,0.2616940316044578,0.7910797265689158,0.9486475563131874,1.7159761537887979,1.9489758888407538,1.4403038149711744,0.9615970593597081,1.5147364239856813,1.3685903195940523,0.702802530010479,0.9664995400315639,1.1631303265014938,1.6666504948810592,1.4530393669146748,1.4365182391563562,0.698807934824439,-1.286441222266457,0.26389049751717697,1.3889194393776625,-1.1566270690351692,-1.0257914846406349,0.730075801233078,-0.7330520852841792,-1.1864998263001567,1.4459980040911602,0.343076236822259,0.2539925862685982,-0.2496001679353675,0.8590119572591861,-0.6595312922464345,0.8823708980582525,0.5160587404363702,0.8258781337155515,0.4631521643087635,1.2623111517826862,0.9568650957972265,0.9753397023805394,0.6899656789718646,0.6949197028607955,0.3866400276932578,0.24199383174601233,0.6647370822389557,0.6567598488340752,0.8799435509699256,0.1219813547954745,-1.603673207033097,0.22271595693382715,1.0835911078021188,-0.5132637480966057,0.4584278134866438,0.6337756782781607,1.253237551370308,0.30185972687030843,0.6569818843363721,0.3037601813037422,0.45425898584294605,0.41841595349911337,0.8344581389374026,0.6921666297816232,1.1958522014949724,1.2972947884869162,0.5089834595446575,0.28697430394992857,-0.1325049675637078,1.1796078051235006,0.7533457226182264,0.6954389000281479,1.1127896824356607,1.2599332957814249,0.5572642946619738,0.6437276648074572,0.7247217609370377,1.036089113946778,1.4218318811217063,0.579837319315359,0.030984150930128927,0.16912179313196407,0.673525171788915,-0.11978309372870126,0.6746591225645898,-0.11348213610305664,0.3002939102987729,0.6065957044985721,0.3817862851091485,1.0842600442624872,0.32435240401401044,0.27554081194859964,0.39707242778765167,0.3612873019188703,0.6966528176764856,0.32581985074053177,-0.6941809447914693,-0.10606140229330101,0.9537798424473353,-0.29892790379727147,0.6841244150179888,-0.2840361755419389,0.9850470386038371,-0.569347468315095,0.6331968203955858,0.6357011306340213,1.2483574041617498,0.6202580744821805,0.5749626416952587,1.1718190615150235,0.603908953282437,0.7709203957195132,-0.9159165382162603,-0.4348426175389122,1.160133960170037,1.0032645414308847,1.3658020044918384,1.0316817096399347,0.4367522895482549,1.3586716801774266,0.7410812669076009,0.8287025596861753,0.04130629868477253,-0.620440863457733,-0.5233001450220154,-0.9478865640771734,0.479953349890477,-0.4141753845119321,0.7873122061883026,1.4643869590706897,-0.9209731189574067,1.2461511989061986,0.5467620228506108,-0.6235141101921199,-0.32871131065962583,-0.4187969385150243,-0.32324899568138166,-0.9350920795936141,-0.559294521954118,-0.9102104997004093,-1.0618362546040396,-0.5910833066714096,-1.1365354005530868,-1.0977358777427988,-0.4568239915960312,-0.5847918401470605,-0.5517721497858205,-1.3696104189874403,-0.8873276861626292,-0.48098557174541917,-1.3534832919164042,-1.6994117000678681,-1.8736919607709028,-0.45514174147055786,-1.0292941064808294,-0.7672708236258977,-0.5880443586422351,-1.1220986080067976,-1.662177687664556,-0.7888219206329667,-1.238484656789659,-1.5922655983489975,-8.278050656184731e-05,-1.005609290745994,-0.8923867493191076,-0.775716852892107,-1.0077049788708243,-0.9221956257628033,-0.42233236961123327,-0.09091503614760407,-1.0072540315757537,0.4117461834271204,0.3654735230193485,0.5723185135504275,-1.4004402218365999,-0.18521370346381785,-1.450772136075172,-2.5448429838619795,-2.8612724120254738,-0.399292890841649,0.8423136677931129,-0.7339978193291395,0.04240794496221816,-0.35574890964502365,-0.872132019248374,-0.5609628457295611,-0.42294822375701796,-1.352491128429959,-1.580465892162702,-1.595012448840396,-1.6741555319753032,0.2957494683907101,0.5145368046932429,0.597288889440172,-0.4008274289799603,-0.6829866086835288,-1.3128030498745955,-0.9599032085396068,-0.9888019818731194,-3.1695049544005154,-2.5240420313956093,-0.18521370346381785,0.6431039331303402,1.173358076275656,-0.8520219974422483,2.092030161481856,0.8939180184841906,-2.0688026733092078,-2.054015901574247,-1.367320092950899,-1.8373014399996137,0.8304378507526432,-2.0114573482437916,-0.9597065764209095,1.5736387447734745,1.604479726766359,1.6336575980560037,-0.34061745454077536,1.5759072752033718,0.5780191900491577,1.4014921614246139,1.3190463653564557,-1.1588228315968772,-1.1978905876588504,1.089702086182162,1.576804535951556,1.247030189077515,0.2840847311261902,1.2927038343901895,-0.07330521204517018,0.643798405369792,0.6243616973497403,-0.52726111175498,1.2312077122911311,0.8679984414427355,0.8461296862946577,0.5106902607577929,1.6101334442416635,0.8056657619251544,-0.7543824541943607,-0.47304535115318835,-0.07028819201812661,-0.31756354466337544,-0.2517438742474965,0.7093464995480009,-0.6285803309794825,-0.40516571456915346,0.6425813267792582,0.028140196625536122,0.2946393239780998,0.014384744341576834,-0.6237834191571149,-0.5524862662052912,-1.0938113032186487,-0.5348718910080787,-0.9069095906556315,0.4381075145521891,-0.8024329211685731,-0.2844190632832381,0.09509682153964694,0.4379774773622149,0.682632251709448,-0.5558225496685941,-0.2914441580115898,-0.4200043605099021,0.4391863226085517,0.14288512063030895,-0.7018814881830894,-0.5291156663288668,-2.0245944970655025,-1.6414590272665504,0.9219569824422122,0.06450129250038499,-0.4787269213285562,0.3819646466509812,0.8226503235276809,0.6187035032521148,0.8616842277191977,0.8025278234471335,0.21669139970631715,0.4231437714279833,-0.9316555396496417,0.591220765823532,0.5668211551423674,-1.106078911596752,-0.7598573301942024,-1.963719185668183,-0.6379302242186671,-1.2953615666307607,1.8949755522417522,-0.3081015703718089,0.48853496868229423,-0.00944080779332779,-1.4685443266899587,-0.06232583655582383,0.32443037667969005,1.3597156764960698,0.2631528891739172,-0.6889510418116203,-1.1137893184519694,-0.8465900506782702,-0.32895586994373033,-1.8531642725846325,1.2885828759888727,-1.5012097929323052,-1.6690956413470428,1.1137971210511348,1.1733622136345492,0.9672478641343556,0.8193766796780022,0.10754601859951811,1.068098262673374,0.33602097247286383,-0.20436421381987369,0.5981427575682964,0.9806776897240823,0.3705221765808576,-0.3565715820871026,-0.18521370346381785,-1.211810284816105,0.05205893035740443,0.9006042138709855,-0.3125405923753043,-0.24616457958393967,-0.9500766170836116,1.139324162030359,1.0218941252035725,0.5427137578450256,-1.3451659510611704,-0.8698546514198814,-1.29366123624693,-1.5895712509419373,1.4458756541140054,0.7676220849361199,2.373458576033774,-0.8978211784984204,0.7546712496600345,0.6017125618421781,-0.1503495702338218,-0.4169268688452907,-2.0666830960741374,-0.7692541328085019,0.3826137237886715,-1.8776046445255983,-1.0897095421625886,-1.3023499547110227,-0.42437865767088956,0.4219833415554022,-0.18521370346381785,-1.4420287051770893,-2.2749363277259924,-1.3830324828918874,-3.1683961173933146,-0.9105458740121894,0.3120197977277162,-1.095604467661297,-0.18521370346381785,0.061896088628010916,0.221605059521898,1.00117215491845
GAPDH,0,1,1,0,2,-0.6898019089541346,0.25992161523882135,-0.33897572122726916,0.20309553588002582,1.6764631690113432,0.7451542976623563,-0.20301674886825438,1.2056574026912432,2.9718630789689318,-0.5620982255980002,-0.9162552150018406,-0.656042465337796,-0.7341296059816771,-0.40136939836067514,-1.037475552778253,0.5628359416081659,0.03876140860347365,-1.2138991728159432,-0.5951632481758858,-0.31552518656462625,0.5968081286524408,0.7667850355084698,0.6972951886813802,0.9351056320961857,0.4491199038014766,0.3235971621274668,0.08360025679666072,0.13594824353123441,0.503141589905984,0.5938389511786825,0.3800235277583553,0.6829125145538125,0.33284066900242604,0.27618156051234555,-0.1868297757581667,0.2389002701782687,0.4978807786780647,0.7659334413005756,0.46893042287365166,0.6558684747297973,0.13062335110498066,0.022237778386400987,-0.11879054014745845,0.23412269258254256,0.46327764920187614,0.37106396757029003,0.9009171300335241,0.6063626592449074,-0.13388288497449718,0.4667359408408539,0.20022946636927852,0.1341193446020398,0.9345894674790329,0.12014083917728068,-0.3694244194068412,0.5735256232762354,0.4534765349024227,0.8639564118078735,0.33348069691469867,0.4706572198022658,0.5296002741632161,0.3196317492673268,0.5151079164664976,0.3765064241444226,-0.24327946418106486,1.236089904276739,1.0317391422859283,0.8774454043872056,0.20345802518461326,0.673486664642282,1.1410687697966817,0.788991596035909,0.9932550869297766,-0.7180968509248798,-1.0921702548261099,0.5220773381609976,1.3527488952606934,0.9874725627851795,1.0544787847605657,0.3048802162138004,0.06831019316646594,0.24794049666120788,0.8201502016295446,0.4799375315048457,0.8518780561096674,-0.18206397916250508,0.5784095421720598,0.42865341625348696,-2.3815159527553793,0.15617356277835892,-2.7076824747138177,0.756491086028544,0.44194750736977995,-1.1090498697242381,0.307656784635701,1.1927117703241974,0.11724654713542243,-0.10496677579972154,-1.9346512976935455,0.9035527052008131,0.42538054413333104,0.7867745752821708,0.535877474061899,0.4125992487864534,1.1741723567059588,0.17397748450916195,0.4618823282853017,0.6003274250075024,0.5789156733373771,0.9048196245125947,0.27520137200422645,0.4982874125534771,0.9434929001388593,0.5977070661347146,-0.46061240318487123,0.8232676549163275,0.20019042228783682,1.1939167214427326,0.332534622142816,1.0075712146864084,1.361505759787703,0.4651680711314195,-1.3171778675182788,1.0384952235578926,0.7022748439838423,0.405446155121363,-0.12669798991836376,0.6992104085196968,0.8693045074220773,0.4706572198022658,0.22924596986442217,0.8187501031951777,0.8024461160668231,1.119582418415475,2.072998899569304,0.8644664566838736,1.1443049500486084,1.3566389309833464,0.5655020113828402,0.7464266633874903,0.1536204944795619,0.580207789238135,0.6627239203982681,0.4369102560669905,0.49651430891901543,0.25417197458500995,0.7704328132043625,0.6221419034870256,0.5575463013730803,0.8096933979304175,0.5288781314179883,-0.16322387428874738,0.5298531503727781,-0.9626574552106021,-0.007659389748274192,,,,1.4162001988046717,,,,,,,,,-1.9938068618932723,-1.1074023437097817,,-0.32095378371972216,-0.8212525034867791,-2.3181843263643658,,,,,0.4648903837237475,,,,-0.9256755072640183,,,,,,,,,-0.3692877385431198,0.07731310318218775,0.3093898807115563,0.3161251375874657,-2.1491953091890883,-1.0017154306563147,0.36829547906721993,0.05601537405078382,-1.1658169939712808,-0.35282771462707474,0.17580790506780528,-1.3760866686049258,-0.7514609421249792,1.275273935758703,-0.31179799977927414,-0.5288632316698811,-0.19413376323629594,-0.6140924480738836,0.3021641541577282,0.4732494052738745,0.6267072503201231,-0.32605481721069324,-0.2592858764041722,0.26303289464560936,-0.5887783481074326,-0.16338898105111088,0.01791249019426405,0.80943774424876,-3.362415287745877,0.6441564197595642,0.6252453630986009,-0.23908499625363258,0.7311739162245104,-0.14739123347779828,0.20067317085911351,-0.3008551982651973,-0.18827493170040252,-0.08168847649968315,-0.01909137851894277,-1.2886486641934214,,,0.682961877807901,0.8349763609728351,0.7033457721066897,0.8364145533008203,0.927643248972483,-2.086419283532204,0.5409317955221443,0.43616679722011836,-0.04444426342470195,-0.5540359264121765,0.8624162304386994,0.5262674870528713,0.19292640914496073,-2.035982602925262,-0.18188035370460687,0.29505479571116305,-0.12800081038263467,-1.5827281274514153,-0.8369650020178588,-2.117328567814774,0.6362816152528022,0.49652623610182456,0.1649053436757859,1.3486242163031996,0.5104150451250582,-0.0729403829371869,0.8381727462956017,-1.003447530031657,-3.063567190618095,0.5606971906397488,-0.931878340015066,0.41664948750494224,0.6165238083484412,-0.4893021218050587,0.567192574925459,-0.3518274990833088,0.005165826867887722,-0.16115004617541798,0.024228820555097532,0.3683813414941034,-0.2673816361253887,-0.40260997496633105,0.6010044770215079,0.00013478168696230643,0.4102971829002494,-2.416881418586163,0.10493292360338939,0.04126587426630515,0.5285063820605428,0.204983468675532,0.3602017193916981,-0.022822081697542355,-0.2228681141054693,0.08991022820821971,-0.07585651600962756,0.32134805426186935,-0.14485000598109682,0.2237115577009336,-1.177858890364709,0.01791249019426405,0.2405770393857848,-1.5603743808368442,0.27986941221354394,-2.224878161300166,0.12574893408738058,-2.5440411478278677,-0.2840331129206971,0.2603435308739525,,0.2823635888013478,-3.3437998192338054,0.49207779559426695,-0.07071586699558949,-1.7905917604013117,-1.4772370394701284,1.2285568816653247,-1.4922295614184267,0.11419297570687131,0.01791249019426405,-2.3569945087731345,0.37602585502493585,-2.700772090913053,0.6959705404758705,0.6915239338972556,0.5594127227542631,-1.3919183725173927,-0.7379269119717854,0.07218000915803992,0.12318167941794389,-0.4538662025373269,0.2574215637811753,0.5782707682372596,-0.08934360156864456,-2.7109446688491405,-1.4467609345199732,0.5018533412032191,0.5754828573635188,0.7796631569878778,1.3897286770448287,-0.12397449247646333,-0.47008770273120143,0.24791379837679245,0.29286947003374725,-0.2623040915431814,-0.54854053839612,1.1331031924518407,-1.5074836574494352,-1.5589822227832317,-3.1724917324615673,0.5209453920327249,0.06858175418831683,-0.0047680412952655965,0.4687302920552545,,-1.2013546497827388,-2.5951674322306126,,-2.9522865882992773,0.01791249019426405,0.4013649655296019,-2.3735662362380396,-3.1749926334555023,-0.6213284074196475,1.0323373619340026,0.048198896458060345,0.17677334240832762,0.1651511566010448,-0.6167558644088459,-2.675749625516789,-0.220290367501961,0.887464909058462,0.4142241696332675,-0.22875925202733424,0.42370629325577913,0.01791249019426405,-2.1569427420149214,-3.11922685434614,1.184387121652438,0.4566013106156424,1.1861116660378899,1.7066574464126012,-1.889819901301257,-0.7054051257307974,-1.269903717640003,0.7412301061193255,1.8203575591614372,-1.402795836990486,
