,TF,Drug targets,Enzymes,Transporters,Annotation,LC_T,LC_T,LC_T,LC_T,LC_T,LC_T,LC_T,LC_T,LC_T,LC_T,LC_N,LC_N,LC_N,LC_N,LC_N,LC_N,LC_N,LC_N,LC_N,LC_N
GAPDH,0.0,1.0,1.0,0.0,2,1.018520777141291,2.161929664540585,1.8748703209984536,-0.6300458302588641,0.08516335738057859,0.25997745739513983,0.3684374268182601,0.8461393602769417,1.6716705921876385,0.18923397963738411,-0.9020511540540703,-0.9435027226842043,-0.9723346621033285,-0.5503812622008156,-0.6837796486850146,-0.5586757419479587,-0.4120222372939427,-0.7593437592377648,-0.9550453329935055,-1.1087605849168058
PSIP1,,,,,6,0.8776266244027014,0.5733548557200128,-0.350564018874284,0.7581499608108581,-0.45403681453597283,1.6653285062959138,1.990957649172118,0.49979371410123213,2.2694249511568056,-0.27037472664372253,-0.7419081592689987,-0.764058645501531,-0.811730344132416,-0.533631272737272,-0.7252244810196873,-0.8358919358924544,-0.7123080849557043,-0.8144495854090439,-0.8272810051831323,-0.7931771875054227
THBS1,0.0,0.0,0.0,0.0,3,-0.4610613735431812,1.002116302592947,1.133044435290733,-0.46529236078590097,0.638530365910884,-0.37551174138269583,0.1402967473066657,-0.36100549940765697,0.5158782302373185,3.63737043369303,-0.4595735538534336,-0.32613472542919825,-0.623047742264448,-0.30590967652169215,-0.6427613531536035,-0.5901762259940877,-0.5665570884193449,-0.6293244815805706,-0.7165479108920221,-0.5443327818037407
YWHAB,,,,,4,0.671232287184571,-0.6447553493989806,3.3275478591281296,0.6636882179731554,0.13889754894830786,-0.26982934368446826,0.004664969751924074,-0.5866904177731107,0.30208125628418825,1.9310105078175674,-0.5564734720907284,-0.6085651683234625,-0.6666707687860517,-0.4354531812235019,-0.6062063757937476,-0.36736846495093356,-0.22470726934449084,-0.546504523489929,-0.6317514888580092,-0.8941468233704328
YWHAH,,,,,4,1.562812338826797,-0.7333144271970408,2.6980136009502003,0.7910578640960108,0.19999236910647775,-0.3170240584820314,-0.17274372781673383,-0.5401240103805479,0.26424853070931453,2.191661164595714,-0.5318759201599762,-0.4448354301260554,-0.7762630223967338,-0.5096836576110617,-0.6271304736396315,-0.5322229932633171,-0.35277258812614287,-0.578948560469955,-0.6634710691659127,-0.9273759294493698
YWHAZ,1.0,0.0,0.0,0.0,4,0.3945960626651818,-0.6943091074223157,1.5686383711292438,0.8761979916443465,0.37869425339067925,0.7555423674143622,2.4822780068546035,-0.6281354821425739,-0.09667268584898797,1.7050461213357506,-0.7846633891121133,-0.3448013281533228,-0.8950235239555767,0.22965867586367017,-0.8500940409309722,-0.7813104832373594,-0.43141624890812696,-0.7662523434605627,-0.9912698845567721,-1.1267033325691542
