,fit_time,score_time,test_precision,test_recall,test_f1,test_balanced_accuracy,test_roc_auc,model
0,0.03500866889953613,0.01047825813293457,0.5,0.16666666666666666,0.25,0.5416666666666666,0.826388888888889,AdaBoostClassifier
1,0.03571605682373047,0.010565757751464844,0.125,0.2,0.15384615384615385,0.30833333333333335,0.3166666666666667,AdaBoostClassifier
2,0.03737211227416992,0.010270833969116211,0.4,0.4,0.4000000000000001,0.575,0.6333333333333333,AdaBoostClassifier
3,0.036242008209228516,0.010290145874023438,0.25,0.16666666666666666,0.2,0.44696969696969696,0.38636363636363635,AdaBoostClassifier
4,0.03633904457092285,0.010657787322998047,0.2,0.16666666666666666,0.1818181818181818,0.4015151515151515,0.34848484848484845,AdaBoostClassifier
5,0.03543996810913086,0.009948253631591797,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.625,0.6597222222222223,AdaBoostClassifier
6,0.03432869911193848,0.011940240859985352,0.2,0.2,0.20000000000000004,0.43333333333333335,0.5750000000000001,AdaBoostClassifier
7,0.03686404228210449,0.010089874267578125,0.3333333333333333,0.4,0.3636363636363636,0.5333333333333333,0.55,AdaBoostClassifier
8,0.03421282768249512,0.00978708267211914,0.25,0.16666666666666666,0.2,0.44696969696969696,0.3787878787878788,AdaBoostClassifier
9,0.03456306457519531,0.010282039642333984,0.25,0.16666666666666666,0.2,0.44696969696969696,0.28787878787878785,AdaBoostClassifier
10,0.03666400909423828,0.010592222213745117,0.5,0.16666666666666666,0.25,0.5416666666666666,0.38888888888888895,AdaBoostClassifier
11,0.03418326377868652,0.009782075881958008,0.5,0.2,0.28571428571428575,0.5583333333333333,0.6333333333333333,AdaBoostClassifier
12,0.03389787673950195,0.009939908981323242,0.2222222222222222,0.4,0.2857142857142857,0.4083333333333333,0.5583333333333333,AdaBoostClassifier
13,0.03631091117858887,0.010775089263916016,0.5,0.16666666666666666,0.25,0.5378787878787878,0.6515151515151516,AdaBoostClassifier
14,0.038424015045166016,0.01129293441772461,0.5,0.5,0.5,0.6136363636363636,0.6893939393939394,AdaBoostClassifier
15,0.03686189651489258,0.010608911514282227,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.375,0.5138888888888888,AdaBoostClassifier
16,0.0354461669921875,0.010069847106933594,0.0,0.0,0.0,0.5,0.39999999999999997,AdaBoostClassifier
17,0.03523397445678711,0.010918140411376953,1.0,0.2,0.33333333333333337,0.6,0.6916666666666667,AdaBoostClassifier
18,0.03492403030395508,0.010019063949584961,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.49242424242424243,0.5075757575757576,AdaBoostClassifier
19,0.033782958984375,0.009709835052490234,0.4,0.3333333333333333,0.3636363636363636,0.5303030303030303,0.5454545454545455,AdaBoostClassifier
20,0.03403472900390625,0.010236263275146484,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.4722222222222222,AdaBoostClassifier
21,0.03638792037963867,0.010065078735351562,0.5,0.2,0.28571428571428575,0.5583333333333333,0.6416666666666666,AdaBoostClassifier
22,0.03400588035583496,0.009650945663452148,0.25,0.2,0.22222222222222224,0.475,0.5166666666666666,AdaBoostClassifier
23,0.03558707237243652,0.010908842086791992,1.0,0.16666666666666666,0.2857142857142857,0.5833333333333334,0.75,AdaBoostClassifier
24,0.03630423545837402,0.010374784469604492,0.5,0.3333333333333333,0.4,0.5757575757575758,0.5984848484848485,AdaBoostClassifier
25,0.03507184982299805,0.01005697250366211,0.5,0.3333333333333333,0.4,0.5833333333333334,0.763888888888889,AdaBoostClassifier
26,0.03354310989379883,0.009496688842773438,0.4,0.4,0.4000000000000001,0.575,0.6833333333333333,AdaBoostClassifier
27,0.03539705276489258,0.010722875595092773,0.25,0.2,0.22222222222222224,0.475,0.6583333333333333,AdaBoostClassifier
28,0.03392982482910156,0.009692192077636719,0.5,0.3333333333333333,0.4,0.5757575757575758,0.5909090909090909,AdaBoostClassifier
29,0.0338900089263916,0.011169672012329102,0.0,0.0,0.0,0.5,0.44696969696969696,AdaBoostClassifier
30,0.03659701347351074,0.010683774948120117,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.5,0.47916666666666663,AdaBoostClassifier
31,0.03727078437805176,0.010576009750366211,0.42857142857142855,0.6,0.5,0.6333333333333333,0.6749999999999999,AdaBoostClassifier
32,0.03440093994140625,0.009803056716918945,1.0,0.2,0.33333333333333337,0.6,0.7166666666666667,AdaBoostClassifier
33,0.03369903564453125,0.009588956832885742,0.2,0.16666666666666666,0.1818181818181818,0.4015151515151515,0.5,AdaBoostClassifier
34,0.03390097618103027,0.010698080062866211,0.2,0.16666666666666666,0.1818181818181818,0.4015151515151515,0.36363636363636365,AdaBoostClassifier
35,0.03693580627441406,0.010577917098999023,0.0,0.0,0.0,0.3333333333333333,0.29166666666666663,AdaBoostClassifier
36,0.036179304122924805,0.010721921920776367,0.2857142857142857,0.4,0.3333333333333333,0.4916666666666667,0.6166666666666667,AdaBoostClassifier
37,0.03459000587463379,0.010603904724121094,0.6666666666666666,0.4,0.5,0.6583333333333333,0.7166666666666666,AdaBoostClassifier
38,0.03526711463928223,0.009931802749633789,0.2,0.16666666666666666,0.1818181818181818,0.4015151515151515,0.25757575757575757,AdaBoostClassifier
39,0.03533577919006348,0.010539054870605469,0.0,0.0,0.0,0.5,0.6287878787878788,AdaBoostClassifier
40,0.03461623191833496,0.009970903396606445,0.5,0.3333333333333333,0.4,0.5833333333333334,0.6666666666666666,AdaBoostClassifier
