,AUROC,Balanced accuracy,Precision,Recall,F1,random_state,feature
test,0.5298611111111111,0.5583333333333333,0.4,0.25,0.3076923076923077,77,WBC
train,0.9966613247863247,0.9305555555555556,1.0,0.8611111111111112,0.9253731343283582,78,WBC
test,0.6423611111111112,0.5805555555555555,0.5,0.25,0.3333333333333333,78,WBC
train,0.9965277777777777,0.9396367521367521,0.9696969696969697,0.8888888888888888,0.927536231884058,79,WBC
test,0.5715277777777779,0.5805555555555555,0.5,0.25,0.3333333333333333,79,WBC
train,0.9966613247863247,0.9305555555555556,1.0,0.8611111111111112,0.9253731343283582,80,WBC
test,0.6729166666666667,0.5604166666666667,0.5,0.1875,0.2727272727272727,80,WBC
train,0.9966613247863247,0.9305555555555556,1.0,0.8611111111111112,0.9253731343283582,81,WBC
test,0.46319444444444446,0.5916666666666667,0.5714285714285714,0.25,0.34782608695652173,81,WBC
train,0.9987980769230769,0.9583333333333333,1.0,0.9166666666666666,0.9565217391304348,82,WBC
test,0.44305555555555554,0.525,0.3076923076923077,0.25,0.27586206896551724,82,WBC
train,0.9977297008547009,0.953525641025641,0.9705882352941176,0.9166666666666666,0.9428571428571428,83,WBC
test,0.5520833333333334,0.5916666666666667,0.5714285714285714,0.25,0.34782608695652173,83,WBC
train,0.9978632478632479,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,84,WBC
test,0.6361111111111111,0.6097222222222223,0.46153846153846156,0.375,0.41379310344827586,84,WBC
train,0.9965277777777777,0.9396367521367521,0.9696969696969697,0.8888888888888888,0.927536231884058,85,WBC
test,0.48125,0.49583333333333335,0.25,0.125,0.16666666666666666,85,WBC
train,0.999465811965812,0.9722222222222222,1.0,0.9444444444444444,0.9714285714285714,86,WBC
test,0.5368055555555555,0.5340277777777778,0.3125,0.3125,0.3125,86,WBC
train,0.9986645299145299,0.9674145299145299,0.9714285714285714,0.9444444444444444,0.9577464788732395,87,WBC
test,0.5458333333333334,0.5472222222222223,0.36363636363636365,0.25,0.2962962962962963,87,WBC
train,0.9966613247863247,0.9305555555555556,1.0,0.8611111111111112,0.9253731343283582,88,WBC
test,0.5965277777777778,0.5472222222222223,0.36363636363636365,0.25,0.2962962962962963,88,WBC
train,0.9966613247863247,0.9305555555555556,1.0,0.8611111111111112,0.9253731343283582,89,WBC
test,0.5340277777777778,0.5583333333333333,0.4,0.25,0.3076923076923077,89,WBC
train,0.9987980769230769,0.9583333333333333,1.0,0.9166666666666666,0.9565217391304348,90,WBC
test,0.548611111111111,0.5784722222222223,0.4166666666666667,0.3125,0.35714285714285715,90,WBC
train,0.9977297008547009,0.953525641025641,0.9705882352941176,0.9166666666666666,0.9428571428571428,91,WBC
test,0.5354166666666667,0.6118055555555555,0.5555555555555556,0.3125,0.39999999999999997,91,WBC
train,0.9978632478632479,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,92,WBC
test,0.4145833333333333,0.46458333333333335,0.14285714285714285,0.0625,0.08695652173913043,92,WBC
train,0.9965277777777777,0.9396367521367521,0.9696969696969697,0.8888888888888888,0.927536231884058,93,WBC
test,0.6618055555555555,0.5895833333333333,0.45454545454545453,0.3125,0.3703703703703703,93,WBC
train,0.9965277777777777,0.9396367521367521,0.9696969696969697,0.8888888888888888,0.927536231884058,94,WBC
test,0.4750000000000001,0.5069444444444444,0.2857142857142857,0.125,0.17391304347826086,94,WBC
train,0.9987980769230769,0.9583333333333333,1.0,0.9166666666666666,0.9565217391304348,95,WBC
test,0.6243055555555556,0.49583333333333335,0.25,0.125,0.16666666666666666,95,WBC
train,0.9966613247863247,0.9305555555555556,1.0,0.8611111111111112,0.9253731343283582,96,WBC
test,0.5416666666666667,0.5270833333333333,0.3333333333333333,0.1875,0.24000000000000005,96,WBC
train,0.9978632478632479,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,97,WBC
test,0.6166666666666667,0.4979166666666667,0.25,0.0625,0.1,97,WBC
train,0.9950587606837606,0.9257478632478633,0.96875,0.8611111111111112,0.911764705882353,98,WBC
test,0.5409722222222222,0.6097222222222223,0.46153846153846156,0.375,0.41379310344827586,98,WBC
train,0.9951923076923077,0.9166666666666667,1.0,0.8333333333333334,0.9090909090909091,99,WBC
test,0.5819444444444444,0.525,0.3076923076923077,0.25,0.27586206896551724,99,WBC
train,0.9987980769230769,0.9583333333333333,1.0,0.9166666666666666,0.9565217391304348,100,WBC
test,0.5256944444444445,0.5875,0.4,0.375,0.38709677419354843,100,WBC
train,0.7176816239316239,0.6666666666666667,0.44680851063829785,0.5833333333333334,0.5060240963855422,1,MCHC
test,0.6909722222222222,0.61875,0.4375,0.4375,0.4375,1,MCHC
train,0.751201923076923,0.6725427350427351,0.5,0.5277777777777778,0.5135135135135136,2,MCHC
test,0.6618055555555555,0.6076388888888888,0.4117647058823529,0.4375,0.42424242424242425,2,MCHC
train,0.7697649572649572,0.6858974358974359,0.38461538461538464,0.8333333333333334,0.5263157894736842,3,MCHC
test,0.45624999999999993,0.43472222222222223,0.22727272727272727,0.625,0.3333333333333333,3,MCHC
train,0.749065170940171,0.6586538461538461,0.4864864864864865,0.5,0.4931506849315069,4,MCHC
test,0.5888888888888888,0.5319444444444444,0.3,0.375,0.33333333333333326,4,MCHC
train,0.7203525641025642,0.6549145299145299,0.38461538461538464,0.6944444444444444,0.49504950495049505,5,MCHC
test,0.6604166666666668,0.5833333333333333,0.34782608695652173,0.5,0.41025641025641024,5,MCHC
train,0.7521367521367521,0.6794871794871795,0.42857142857142855,0.6666666666666666,0.5217391304347826,6,MCHC
test,0.5951388888888889,0.5298611111111111,0.2916666666666667,0.4375,0.35000000000000003,6,MCHC
train,0.7457264957264956,0.6939102564102564,0.4528301886792453,0.6666666666666666,0.5393258426966292,7,MCHC
test,0.7215277777777778,0.6590277777777778,0.45,0.5625,0.5,7,MCHC
train,0.7715010683760684,0.6816239316239316,0.5,0.5555555555555556,0.5263157894736842,8,MCHC
test,0.6166666666666667,0.6055555555555556,0.38095238095238093,0.5,0.4324324324324324,8,MCHC
train,0.7895299145299145,0.7003205128205128,0.525,0.5833333333333334,0.5526315789473685,9,MCHC
test,0.5562499999999999,0.5208333333333333,0.2857142857142857,0.375,0.3243243243243243,9,MCHC
train,0.7568108974358974,0.6981837606837606,0.44642857142857145,0.6944444444444444,0.5434782608695653,10,MCHC
test,0.5972222222222222,0.5145833333333334,0.2727272727272727,0.5625,0.36734693877551017,10,MCHC
train,0.7629540598290597,0.6602564102564102,0.6,0.4166666666666667,0.49180327868852464,11,MCHC
test,0.6027777777777779,0.5784722222222223,0.4166666666666667,0.3125,0.35714285714285715,11,MCHC
train,0.7739049145299145,0.717948717948718,0.5,0.6666666666666666,0.5714285714285715,12,MCHC
test,0.6020833333333334,0.5298611111111111,0.2916666666666667,0.4375,0.35000000000000003,12,MCHC
train,0.7184829059829061,0.6442307692307692,0.36,0.75,0.48648648648648657,13,MCHC
test,0.6638888888888889,0.6215277777777778,0.3548387096774194,0.6875,0.4680851063829787,13,MCHC
train,0.7942040598290598,0.7115384615384616,0.4426229508196721,0.75,0.556701030927835,14,MCHC
test,0.4847222222222223,0.51875,0.28,0.4375,0.34146341463414637,14,MCHC
train,0.7019230769230769,0.6404914529914529,0.48484848484848486,0.4444444444444444,0.463768115942029,15,MCHC
test,0.7229166666666667,0.6409722222222223,0.5,0.4375,0.4666666666666667,15,MCHC
train,0.750934829059829,0.671474358974359,0.37037037037037035,0.8333333333333334,0.5128205128205128,16,MCHC
test,0.5263888888888888,0.5256944444444445,0.28125,0.5625,0.375,16,MCHC
train,0.7361111111111112,0.6741452991452992,0.4098360655737705,0.6944444444444444,0.5154639175257733,17,MCHC
test,0.5430555555555556,0.5541666666666667,0.3333333333333333,0.375,0.35294117647058826,17,MCHC
train,0.7414529914529914,0.6720085470085471,0.47619047619047616,0.5555555555555556,0.5128205128205129,18,MCHC
test,0.6888888888888889,0.6277777777777778,0.42105263157894735,0.5,0.45714285714285713,18,MCHC
train,0.8104967948717948,0.6965811965811965,0.5757575757575758,0.5277777777777778,0.5507246376811594,19,MCHC
test,0.4666666666666667,0.5138888888888888,0.2857142857142857,0.25,0.26666666666666666,19,MCHC
train,0.7208867521367521,0.624465811965812,0.3958333333333333,0.5277777777777778,0.45238095238095233,20,MCHC
test,0.6923611111111111,0.6680555555555556,0.43478260869565216,0.625,0.5128205128205128,20,MCHC
train,0.7268963675213675,0.6159188034188035,0.33766233766233766,0.7222222222222222,0.46017699115044247,21,MCHC
test,0.6326388888888889,0.6083333333333334,0.3333333333333333,0.75,0.46153846153846156,21,MCHC
train,0.7227564102564102,0.6431623931623932,0.3493975903614458,0.8055555555555556,0.4873949579831932,22,MCHC
test,0.6305555555555556,0.5680555555555555,0.3125,0.625,0.4166666666666667,22,MCHC
train,0.7402510683760684,0.6666666666666667,0.44680851063829785,0.5833333333333334,0.5060240963855422,23,MCHC
test,0.5798611111111112,0.5451388888888888,0.3333333333333333,0.3125,0.3225806451612903,23,MCHC
train,0.7549412393162392,0.6805555555555556,0.4583333333333333,0.6111111111111112,0.5238095238095238,24,MCHC
test,0.6395833333333334,0.5833333333333333,0.34782608695652173,0.5,0.41025641025641024,24,MCHC
train,0.7326388888888888,0.6591880341880342,0.38235294117647056,0.7222222222222222,0.4999999999999999,25,MCHC
test,0.6,0.5368055555555555,0.2903225806451613,0.5625,0.3829787234042554,25,MCHC
train,0.7545405982905984,0.6832264957264957,0.4126984126984127,0.7222222222222222,0.5252525252525252,26,MCHC
test,0.6125,0.5479166666666666,0.3,0.5625,0.3913043478260869,26,MCHC
train,0.7294337606837606,0.6394230769230769,0.35526315789473684,0.75,0.48214285714285726,27,MCHC
test,0.6784722222222223,0.6125,0.35714285714285715,0.625,0.45454545454545453,27,MCHC
train,0.734909188034188,0.6538461538461539,0.47368421052631576,0.5,0.4864864864864865,28,MCHC
test,0.6333333333333333,0.61875,0.4375,0.4375,0.4375,28,MCHC
train,0.7821848290598291,0.7083333333333333,0.48,0.6666666666666666,0.5581395348837209,29,MCHC
test,0.5805555555555556,0.5520833333333333,0.3181818181818182,0.4375,0.3684210526315789,29,MCHC
train,0.7280982905982906,0.6944444444444444,0.46938775510204084,0.6388888888888888,0.5411764705882353,30,MCHC
test,0.6388888888888888,0.58125,0.3333333333333333,0.5625,0.4186046511627907,30,MCHC
train,0.7696314102564101,0.6901709401709402,0.4782608695652174,0.6111111111111112,0.5365853658536586,31,MCHC
test,0.5673611111111111,0.5986111111111111,0.42857142857142855,0.375,0.39999999999999997,31,MCHC
train,0.7052617521367521,0.6388888888888888,0.4222222222222222,0.5277777777777778,0.46913580246913583,32,MCHC
test,0.7444444444444446,0.7326388888888888,0.5238095238095238,0.6875,0.5945945945945946,32,MCHC
train,0.6661324786324786,0.608974358974359,0.3559322033898305,0.5833333333333334,0.4421052631578947,33,MCHC
test,0.8069444444444445,0.7395833333333333,0.4642857142857143,0.8125,0.5909090909090908,33,MCHC
train,0.7032585470085471,0.6607905982905983,0.4107142857142857,0.6388888888888888,0.5,34,MCHC
test,0.7847222222222222,0.7284722222222222,0.4482758620689655,0.8125,0.5777777777777777,34,MCHC
train,0.6917735042735043,0.6495726495726495,0.4857142857142857,0.4722222222222222,0.47887323943661975,35,MCHC
test,0.7402777777777778,0.6701388888888888,0.47368421052631576,0.5625,0.5142857142857142,35,MCHC
train,0.780849358974359,0.6682692307692308,0.5142857142857142,0.5,0.5070422535211268,36,MCHC
test,0.6145833333333334,0.6097222222222223,0.46153846153846156,0.375,0.41379310344827586,36,MCHC
train,0.7391826923076924,0.657051282051282,0.42857142857142855,0.5833333333333334,0.49411764705882355,37,MCHC
test,0.6118055555555555,0.5986111111111111,0.42857142857142855,0.375,0.39999999999999997,37,MCHC
train,0.7506677350427351,0.6634615384615384,0.5,0.5,0.5,38,MCHC
test,0.61875,0.6298611111111111,0.4666666666666667,0.4375,0.45161290322580644,38,MCHC
train,0.7561431623931625,0.6848290598290598,0.45098039215686275,0.6388888888888888,0.5287356321839081,39,MCHC
test,0.5840277777777778,0.5479166666666666,0.3,0.5625,0.3913043478260869,39,MCHC
train,0.7163461538461539,0.6629273504273505,0.475,0.5277777777777778,0.5,40,MCHC
test,0.6847222222222222,0.5965277777777778,0.3888888888888889,0.4375,0.411764705882353,40,MCHC
train,0.7098023504273505,0.656517094017094,0.41509433962264153,0.6111111111111112,0.4943820224719102,41,MCHC
test,0.6763888888888889,0.5743055555555556,0.35,0.4375,0.38888888888888884,41,MCHC
train,0.7693643162393162,0.6997863247863247,0.5,0.6111111111111112,0.55,42,MCHC
test,0.5902777777777778,0.5541666666666667,0.3333333333333333,0.375,0.35294117647058826,42,MCHC
train,0.8070245726495726,0.719017094017094,0.55,0.6111111111111112,0.5789473684210527,43,MCHC
test,0.44722222222222224,0.5229166666666667,0.29411764705882354,0.3125,0.30303030303030304,43,MCHC
train,0.7517361111111112,0.6960470085470085,0.4027777777777778,0.8055555555555556,0.537037037037037,44,MCHC
test,0.5965277777777778,0.5145833333333334,0.2727272727272727,0.5625,0.36734693877551017,44,MCHC
train,0.7598824786324786,0.6672008547008548,0.3717948717948718,0.8055555555555556,0.5087719298245614,45,MCHC
test,0.576388888888889,0.5145833333333334,0.2727272727272727,0.5625,0.36734693877551017,45,MCHC
