,feature,AUROC
test,AFP,0.8204081632653062
train,AFP,0.9500000000000001
test,AFP,0.689795918367347
train,AFP,0.9581439393939394
test,AFP,0.6673469387755102
train,AFP,0.9517045454545454
test,AFP,0.7357142857142855
train,AFP,0.9259469696969698
test,AFP,0.8510204081632653
train,AFP,0.9251893939393939
test,AFP,0.8244897959183674
train,AFP,0.944318181818182
test,AFP,0.7377551020408164
train,AFP,0.9346590909090909
test,AFP,0.8112244897959182
train,AFP,0.9270833333333334
test,AFP,0.8438775510204081
train,AFP,0.9431818181818181
test,AFP,0.773469387755102
train,AFP,0.9181818181818182
test,AFP,0.8683673469387756
train,AFP,0.9200757575757575
test,AFP,0.8714285714285714
train,AFP,0.9554924242424242
test,AFP,0.7397959183673469
train,AFP,0.93125
test,AFP,0.8214285714285714
train,AFP,0.9479166666666666
test,AFP,0.6867346938775509
train,AFP,0.9477272727272728
test,AFP,0.7673469387755102
train,AFP,0.9168560606060606
test,AFP,0.8846938775510204
train,AFP,0.9
test,AFP,0.9204081632653062
train,AFP,0.9395833333333333
test,AFP,0.7836734693877551
train,AFP,0.9270833333333334
test,AFP,0.8551020408163266
train,AFP,0.9176136363636364
test,AFP,0.9
train,AFP,0.9244318181818182
test,AFP,0.8336734693877551
train,AFP,0.9028409090909091
test,AFP,0.9540816326530612
train,AFP,0.9407196969696969
test,AFP,0.7979591836734693
train,AFP,0.9285984848484847
test,AFP,0.860204081632653
train,AFP,0.9486742424242425
test,AFP,0.8
train,AFP,0.9435606060606061
test,AFP,0.7520408163265305
train,AFP,0.9668560606060606
test,AFP,0.6418367346938776
train,AFP,0.9357954545454545
test,AFP,0.8102040816326531
train,AFP,0.9625
test,AFP,0.6959183673469387
train,AFP,0.9229166666666666
test,AFP,0.8530612244897959
train,AFP,0.9303030303030303
test,AFP,0.8397959183673469
train,AFP,0.9102272727272727
test,AFP,0.8346938775510203
train,AFP,0.9369318181818181
test,AFP,0.8326530612244898
train,AFP,0.9132575757575758
test,AFP,0.873469387755102
train,AFP,0.9024621212121212
test,AFP,0.9183673469387755
train,AFP,0.9464015151515153
test,AFP,0.7102040816326531
train,AFP,0.9236742424242423
test,AFP,0.846938775510204
train,AFP,0.9422348484848485
test,AFP,0.8428571428571429
train,AFP,0.9132575757575757
test,AFP,0.8979591836734694
train,AFP,0.9196969696969697
test,AFP,0.8387755102040816
train,AFP,0.925
test,AFP,0.8193877551020406
train,AFP,0.9185606060606061
test,AFP,0.9081632653061225
train,AFP,0.9265151515151515
test,AFP,0.8714285714285714
train,AFP,0.9375
test,AFP,0.7000000000000001
train,AFP,0.9142045454545454
test,AFP,0.8938775510204082
train,AFP,0.9176136363636364
test,AFP,0.9112244897959183
train,AFP,0.9303030303030303
test,AFP,0.8479591836734695
train,AFP,0.9104166666666668
test,AFP,0.8908163265306123
train,AFP,0.928219696969697
test,AFP,0.8153061224489795
train,AFP,0.9403409090909091
test,AFP,0.8163265306122449
train,AFP+MCHC+WBC,0.9387019230769231
test,AFP+MCHC+WBC,0.8256302521008403
train,AFP+MCHC+WBC,0.9643429487179487
test,AFP+MCHC+WBC,0.7899159663865547
train,AFP+MCHC+WBC,0.9647435897435896
test,AFP+MCHC+WBC,0.8235294117647058
train,AFP+MCHC+WBC,0.9429086538461539
test,AFP+MCHC+WBC,0.9096638655462185
train,AFP+MCHC+WBC,0.9415064102564104
test,AFP+MCHC+WBC,0.8445378151260504
train,AFP+MCHC+WBC,0.9555288461538461
test,AFP+MCHC+WBC,0.823529411764706
train,AFP+MCHC+WBC,0.9338942307692308
test,AFP+MCHC+WBC,0.8445378151260504
train,AFP+MCHC+WBC,0.9196714743589745
test,AFP+MCHC+WBC,0.9180672268907565
train,AFP+MCHC+WBC,0.9264823717948718
test,AFP+MCHC+WBC,0.9180672268907563
train,AFP+MCHC+WBC,0.9499198717948718
test,AFP+MCHC+WBC,0.8550420168067228
train,AFP+MCHC+WBC,0.9451121794871794
test,AFP+MCHC+WBC,0.8466386554621849
train,AFP+MCHC+WBC,0.938301282051282
test,AFP+MCHC+WBC,0.8781512605042017
train,AFP+MCHC+WBC,0.9643429487179487
test,AFP+MCHC+WBC,0.8350840336134454
train,AFP+MCHC+WBC,0.9224759615384615
test,AFP+MCHC+WBC,0.9012605042016807
train,AFP+MCHC+WBC,0.9483173076923077
test,AFP+MCHC+WBC,0.8571428571428571
train,AFP+MCHC+WBC,0.9387019230769231
test,AFP+MCHC+WBC,0.907563025210084
train,AFP+MCHC+WBC,0.9375
test,AFP+MCHC+WBC,0.8613445378151261
train,AFP+MCHC+WBC,0.9403044871794872
test,AFP+MCHC+WBC,0.8739495798319328
train,AFP+MCHC+WBC,0.9419070512820512
test,AFP+MCHC+WBC,0.9033613445378151
train,AFP+MCHC+WBC,0.9589342948717948
test,AFP+MCHC+WBC,0.884453781512605
train,AFP+MCHC+WBC,0.9411057692307693
test,AFP+MCHC+WBC,0.8508403361344539
train,AFP+MCHC+WBC,0.9170673076923077
test,AFP+MCHC+WBC,0.9852941176470588
train,AFP+MCHC+WBC,0.9399038461538461
test,AFP+MCHC+WBC,0.930672268907563
train,AFP+MCHC+WBC,0.953125
test,AFP+MCHC+WBC,0.8592436974789914
train,AFP+MCHC+WBC,0.9595352564102565
test,AFP+MCHC+WBC,0.8151260504201681
train,AFP+MCHC+WBC,0.9375
test,AFP+MCHC+WBC,0.903361344537815
train,AFP+MCHC+WBC,0.9346955128205129
test,AFP+MCHC+WBC,0.9159663865546218
train,AFP+MCHC+WBC,0.9475160256410257
test,AFP+MCHC+WBC,0.8802521008403361
train,AFP+MCHC+WBC,0.9591346153846154
test,AFP+MCHC+WBC,0.7815126050420168
train,AFP+MCHC+WBC,0.9401041666666666
test,AFP+MCHC+WBC,0.888655462184874
train,AFP+MCHC+WBC,0.9547275641025641
test,AFP+MCHC+WBC,0.8067226890756303
train,AFP+MCHC+WBC,0.9443108974358974
test,AFP+MCHC+WBC,0.8172268907563024
train,AFP+MCHC+WBC,0.9499198717948718
test,AFP+MCHC+WBC,0.7962184873949579
train,AFP+MCHC+WBC,0.9555288461538461
test,AFP+MCHC+WBC,0.8277310924369747
train,AFP+MCHC+WBC,0.9487179487179486
test,AFP+MCHC+WBC,0.8613445378151262
train,AFP+MCHC+WBC,0.9455128205128206
test,AFP+MCHC+WBC,0.8298319327731092
train,AFP+MCHC+WBC,0.9266826923076923
test,AFP+MCHC+WBC,0.9180672268907564
train,AFP+MCHC+WBC,0.938301282051282
test,AFP+MCHC+WBC,0.8991596638655462
train,AFP+MCHC+WBC,0.946113782051282
test,AFP+MCHC+WBC,0.8067226890756303
train,AFP+MCHC+WBC,0.9190705128205129
test,AFP+MCHC+WBC,0.8949579831932774
train,AFP+MCHC+WBC,0.9551282051282052
test,AFP+MCHC+WBC,0.7878151260504201
train,AFP+MCHC+WBC,0.9322916666666666
test,AFP+MCHC+WBC,0.907563025210084
train,AFP+MCHC+WBC,0.9393028846153847
test,AFP+MCHC+WBC,0.851890756302521
train,AFP+MCHC+WBC,0.9595352564102564
test,AFP+MCHC+WBC,0.819327731092437
train,AFP+MCHC+WBC,0.9204727564102564
test,AFP+MCHC+WBC,0.930672268907563
train,AFP+MCHC+WBC,0.9563301282051282
test,AFP+MCHC+WBC,0.8109243697478992
train,AFP+MCHC+WBC,0.9206730769230769
test,AFP+MCHC+WBC,0.9726890756302521
train,AFP+MCHC+WBC,0.9318910256410258
test,AFP+MCHC+WBC,0.9369747899159663
train,AFP+MCHC+WBC,0.9246794871794871
test,AFP+MCHC+WBC,0.9348739495798319
train,AFP+MCHC+WBC,0.9507211538461539
test,AFP+MCHC+WBC,0.8319327731092436
train,AFP+MCHC+WBC,0.9627403846153847
test,AFP+MCHC+WBC,0.7478991596638656
train,AFP+MCHC+WBC,0.9354967948717948
test,AFP+MCHC+WBC,0.8697478991596639
train,AFP+MCHC+WBC,0.9290865384615385
test,AFP+MCHC+WBC,0.8403361344537814
train,AFP+MCHC+WBC,0.9427083333333335
test,AFP+MCHC+WBC,0.8424369747899159
train,AFP+MCHC+WBC,0.9302884615384616
test,AFP+MCHC+WBC,0.9012605042016807
train,AFP+MCHC+WBC,0.9607371794871794
test,AFP+MCHC+WBC,0.7584033613445378
train,AFP+MCHC+WBC,0.9495192307692307
test,AFP+MCHC+WBC,0.8487394957983193
train,AFP+MCHC+WBC,0.9206730769230769
test,AFP+MCHC+WBC,0.8802521008403361
train,AFP+MCHC+WBC,0.9294871794871795
test,AFP+MCHC+WBC,0.9180672268907564
train,AFP+MCHC+WBC,0.9258814102564102
test,AFP+MCHC+WBC,0.9348739495798319
train,AFP+MCHC+WBC,0.9258814102564102
test,AFP+MCHC+WBC,0.9264705882352942
train,AFP+MCHC+WBC,0.9671474358974359
test,AFP+MCHC+WBC,0.7626050420168067
train,AFP+MCHC+WBC,0.9306891025641025
test,AFP+MCHC+WBC,0.876050420168067
train,AFP+MCHC+WBC,0.9427083333333333
test,AFP+MCHC+WBC,0.8361344537815125
train,AFP+MCHC+WBC,0.9391025641025641
test,AFP+MCHC+WBC,0.861344537815126
train,AFP+MCHC+WBC,0.9320913461538463
test,AFP+MCHC+WBC,0.907563025210084
train,AFP+MCHC+WBC,0.9294871794871795
test,AFP+MCHC+WBC,0.838235294117647
train,AFP+MCHC+WBC,0.9387019230769231
test,AFP+MCHC+WBC,0.9138655462184874
train,AFP+MCHC+WBC,0.9551282051282052
test,AFP+MCHC+WBC,0.8109243697478992
train,AFP+MCHC+WBC,0.9407051282051282
test,AFP+MCHC+WBC,0.8130252100840336
train,AFP+MCHC+WBC,0.9427083333333334
test,AFP+MCHC+WBC,0.8571428571428572
train,AFP+MCHC+WBC,0.9381009615384615
test,AFP+MCHC+WBC,0.8686974789915967
train,AFP+MCHC+WBC,0.9515224358974359
test,AFP+MCHC+WBC,0.8371848739495799
train,AFP+MCHC+WBC,0.953926282051282
test,AFP+MCHC+WBC,0.8256302521008404
train,AFP+MCHC+WBC,0.937099358974359
test,AFP+MCHC+WBC,0.8697478991596639
train,AFP+MCHC+WBC,0.9379006410256411
test,AFP+MCHC+WBC,0.8865546218487395
train,AFP+MCHC+WBC,0.9775641025641025
test,AFP+MCHC+WBC,0.6806722689075629
train,AFP+MCHC+WBC,0.9310897435897436
test,AFP+MCHC+WBC,0.9075630252100841
train,AFP+MCHC+WBC,0.953125
test,AFP+MCHC+WBC,0.7899159663865546
train,AFP+MCHC+WBC,0.936698717948718
test,AFP+MCHC+WBC,0.8949579831932772
train,AFP+MCHC+WBC,0.9360977564102564
test,AFP+MCHC+WBC,0.8424369747899159
train,AFP+MCHC+WBC,0.9499198717948717
test,AFP+MCHC+WBC,0.8235294117647058
train,AFP+MCHC+WBC,0.9322916666666667
test,AFP+MCHC+WBC,0.8781512605042017
train,AFP+MCHC+WBC,0.9563301282051282
test,AFP+MCHC+WBC,0.8739495798319328
train,AFP+MCHC+WBC,0.9204727564102564
test,AFP+MCHC+WBC,0.9117647058823528
train,AFP+MCHC+WBC,0.954326923076923
test,AFP+MCHC+WBC,0.8508403361344539
train,AFP+MCHC+WBC,0.967948717948718
test,AFP+MCHC+WBC,0.7899159663865546
train,AFP+MCHC+WBC,0.9619391025641026
test,AFP+MCHC+WBC,0.7542016806722689
train,AFP+MCHC+WBC,0.9210737179487178
test,AFP+MCHC+WBC,0.9222689075630253
train,AFP+MCHC+WBC,0.9523237179487178
test,AFP+MCHC+WBC,0.8361344537815125
train,AFP+MCHC+WBC,0.9587339743589743
test,AFP+MCHC+WBC,0.8235294117647058
train,AFP+MCHC+WBC,0.9350961538461539
test,AFP+MCHC+WBC,0.9222689075630253
train,AFP+MCHC+WBC,0.9358974358974359
test,AFP+MCHC+WBC,0.9222689075630253
train,AFP+MCHC+WBC,0.9419070512820513
test,AFP+MCHC+WBC,0.8613445378151261
train,AFP+MCHC+WBC,0.9399038461538461
test,AFP+MCHC+WBC,0.846638655462185
train,AFP+MCHC+WBC,0.9411057692307693
test,AFP+MCHC+WBC,0.9159663865546218
train,AFP+MCHC+WBC,0.9391025641025641
test,AFP+MCHC+WBC,0.8718487394957983
train,AFP+MCHC+WBC,0.950721153846154
test,AFP+MCHC+WBC,0.8298319327731092
train,AFP+MCHC+WBC,0.9567307692307692
test,AFP+MCHC+WBC,0.8088235294117647
train,AFP+MCHC+WBC,0.9346955128205128
test,AFP+MCHC+WBC,0.9138655462184875
train,AFP+MCHC+WBC+MARCKS,0.9390394088669951
test,AFP+MCHC+WBC+MARCKS,0.8646153846153846
train,AFP+MCHC+WBC+MARCKS,0.9291871921182266
