Cancer associated genes (CAG)
ABL1
ACVR1B
AFF1
AFF4
AGAP2
AGR2
AIM2
AKAP13
AKIP1
AKT1
AKT2
ALK
APC
ARAF
ARHGAP20
ARHGAP26
ARHGAP35
ARHGEF12
ARHGEF5
ARID1A
ARID1B
ARID2
ARID3B
ASPSCR1
ATRX
AURKA
AXL
B2M
BANP
BAP1
BAX
BCAS3
BCAS4
BCL10
BCL2
BCL3
BCL6
BCOR
BCR
BIN1
BMI1
BRAF
BRCA1
BRCC3
BRD7
BRI3BP
BRMS1
BTG1
CADM1
CADM4
CARD11
CARS
CASP8
CBFB
CBL
CCDC6
CCND1
CCNL1
CDC73
CDH1
CDK2AP1
CDKN1B
CDKN1C
CDKN2A
CDKN2C
CDKN2D
CEBPA
CHD5
CHEK2
CIC
CMC4
CREB3L2
CREBBP
CREBL2
CRK
CSF1R
CSNK2A3
CTCF
CTNNB1
CYLD
DAB2
DAB2IP
DAPK3
DCUN1D1
DDIT3
DDX6
DEK
DFNA5
DIS3L2
DLC1
DLEC1
DMTF1
DMTN
DNMT1
DNMT3A
DOCK4
DPH1
EFNA1
EGFR
ELAC2
ELF4
ELL
ENTPD5
EP300
EPB41L3
EPHB2
EPS15
ERBB2
ERG
ERRFI1
ETS1
ETS2
ETV1
ETV6
EVI2A
EVI2B
EWSR1
EXT1
EXT2
EZH2
FAM120A
FBXW7
FCGR2B
FER
FES
FGF3
FGF5
FGFR2
FGFR3
FGR
FH
FLCN
FLI1
FLT3
FOS
FOXL2
FOXO1
FOXO3
FOXO4
FRAT1
FRK
FSTL3
FUBP1
FUS
FYN
GAS7
GATA2
GATA3
GLI1
GMPS
GNA11
GNAQ
GNAS
GPR68
HCK
HIC1
HIF3A
HMGA2
HOPX
HOXA9
HPGD
HRAS
HTATIP2
IDH1
IDH2
ING1
ING4
IRF1
JAK1
JAK2
JAK3
JAZF1
JUN
KAT6A
KCTD11
KDM5C
KDM6A
KDSR
KIT
KLF4
KLK10
KMT2A
KRAS
LATS1
LATS2
LCK
LETMD1
LGR6
LHX4
LIMD1
LIN9
LITAF
LMO2
LYL1
LYN
LZTS1
MAF
MAFB
MAP2K1
MAP2K4
MAP3K1
MAP3K8
MAPKAPK5
MCF2
MCF2L
MCTS1
MDM2
MDM4
MECOM
MED12
MERTK
MET
MFHAS1
MKL1
MLH1
MLLT1
MLLT10
MLLT11
MLLT3
MLLT4
MN1
MPL
MSH2
MSH6
MTSS1
MTUS1
MUC1
MUTYH
MXI1
MYB
MYCN
MYD88
MYEOV
NBL1
NCKIPSD
NCOA1
NCOA3
NCOA4
NCOR1
NDRG2
NET1
NF1
NF2
NFE2L2
NFKB2
NKX2-1
NKX3-1
NOTCH1
NOTCH2
NPM1
NPRL2
NR4A3
NRAS
NSD1
NTRK1
NUP214
PAF1
PALB2
PARK7
PATZ1
PAX3
PAX5
PAX7
PBRM1
PBX1
PDCD4
PDGFB
PDGFD
PDGFRA
PDGFRB
PHB
PHF6
PHLDA3
PHLPP1
PHLPP2
PICALM
PIK3CA
PIK3R1
PIM2
PINX1
PLEKHG2
PLEKHO1
PLK2
PML
PMS1
POU2AF1
PPAPDC1B
PPP2R1A
PRCC
PRDM1
PRKCD
PRKCDBP
PRKCI
PRR5
PTCH1
PTEN
PTPN11
PTTG1
PYCARD
PYHIN1
RAB8A
RAF1
RAP1A
RARA
RARB
RASA1
RASL10A
RASSF1
RASSF2
RASSF4
RASSF5
RB1
RB1CC1
RBL1
RBL2
RBM15
RBMX
RECK
REL
RET
RHOA
RHOB
RNF213
RNF43
ROS1
RPS6KA2
RRAS2
RUNX1
RUNX1T1
SASH1
SEC31A
SET
SETBP1
SETD2
