Proteome cluster,ITIH3,APOB,CDH5,CDH1,Serine/threonine-protein,CD14,C9,C1S,C8G,C8A,C7,MASP2,C5,C3,MASP1,C8B,CPN2,SHBG,C1R,ITIH4,PRG4,OAF,PROS1,SERPINA10,FBLN1,ANXA6,VASN,IGF1,KNG1,PROZ,HABP2,PVR,QSOX1,CRTAC1,SAA4,PLXDC2,CDH13,SOD3,LRP1,DBH,COL6A3,COMP,CPB2,TIMM44,CD109,NUP98,WIF1,AHSG,APOD,BLVRB,PCOLCE,PCSK9,ALDOB,APOM,APMAP,ITIH2,CNDP1,APOC1,COL6A1,COLEC11,SERPINF2,CPN1,CLU,SERPIND1,PON1,PGLYRP2,SERPINA5,GPLD1,SERPINA4,LCAT,F2,F7,F9,FN1,GSN,APOC2,FETUB,ITIH1,PON3,PCYOX1,APOC3,APOL1,ITIH5,APOC4,CAMP,APOF,APOE,PROC,PFN1,TPM2,ACTA1,ACTA2,THBS1,PPBP,TMSB4X,CALR,P4HB,MSN,TAGLN2,VCL,FLNA,ACTBL2,ACTB,PKM,CFL1,HSPA8,PDIA3,YWHAQ,KRT77,Fibrinogen,ROBO4,AGT,FUCA1,A1BG,GGH,KRT1,GP1BA,GPX3,HSPA5,PTPRJ,PTPRG,MST1,ICAM2,HSPG2,HEG1,PROCR,HPX,PODXL,C1QB,DPEP2,FCN3,SLC38A10,SPARCL1,CFH,CFD,LYZ,SPP1,CD93,CD5L,CAMKK2,CADM1,VTN,B2M,C6,BST1,C1QA,LYVE1,SELL,CGREF1,CHL1,FCGBP,FCGR3A,LAMP2,APCS,F11,PLBD1,ALCAM,ALDOA,DSG2,C1QC,SERPINA7,ANPEP,SERPINF1,OLFM1,FCN2,FAH,LUM,KLKB1,PEPD,PI16,NCAM1,PLG,CTBS,IGFBP3,ADGRB3,AFM,AOC3,APOA2,APOA4,ATRN,BCHE,BTD,TTR,CFP,CLEC3B,IL1RAP,SERPINC1,CNTN1,SELENOP,F10,F12,F13A1,IGFALS,ICOSLG,HRG,F13B,ECM1,GC,HGFAC,RBP4,YWHAZ,SERPINA6,PLTP,TFRC,SPG11,SERPINA11,VWF,PSIP1,H6PD,NID1,GSTO1,GNPTG,GAPDH,FLT4,ENPP2,EFEMP1,ITGB1,CTSD,CD44,C4BPA,C4B,C4A,AMBP,ADGRG6,CFB,KRT6A,ZYX,LBP,MINPP1,LCN2,MMP2,LCP1,MAN1A1,SAA1,SOD2,NRP1,LGALS3BP,FGL1,SERPINA3,S100A9,LRG1,CRP,CP,SERPING1,CFI,ENO1,S100A8,CFHR5,KRT10,C2,MRC1,HLA-A,ICAM1,TIMP1,IGFBP2,MCAM,CFHR3,MANBA,ABI3BP,NEO1,CEACAM8,MBL2,TALDO1,APOH,CACNA2D1,AZGP1,BASP1,CA2,CA1,TXN,CAT,PNP,CTSL,COL18A1,IGFBP6,PPIA,PRDX2,HBB,HBA1,PRSS3,PTGDS,ZNF512B,GPNMB,LDHA,GLIPR2,LDHB,FUCA2,SELENBP1,PGK1,DNAH5,KRT9,CST3,CSF1R,SOD1,SBSN
BRCA-rich,-0.11336896461439042,0.3127054137333135,-0.025340261892920123,-0.05498038095668914,0.2102801576266882,-0.02089941773741839,-0.003669988532670448,0.3703906863039573,0.3620110671392108,0.2583393775338398,-0.10126087978064431,-0.11690870808814428,0.3083016827952274,0.22531572832950086,-0.06572941400637541,0.1823294624888669,0.30826396351803087,-0.20282919928737456,0.16422463006916158,-0.060765589842811225,0.3079900705639449,0.0004813380468486629,0.31833117864813426,0.20964796788594323,-0.2793226930290835,0.13601588692674788,0.0036038301064252247,0.561780633369075,0.025117959008008985,0.33819220591816596,-0.03270739771090809,-0.1861326026571081,0.6340482344836222,-0.16658191350942303,0.6564976527118391,0.049289158460818924,0.07702556332746305,-0.01913964857674548,0.37492319212575553,0.3009485120383468,-0.009623836654841768,-0.012655216155554259,0.4770205981713366,-0.0824688164442521,0.11533851510182418,-0.05865271641937482,0.25987382439420714,-0.01679132261525799,0.20011431410552472,-0.11161226802808948,-0.049826681783276365,0.006306310903752211,0.12991943988263002,0.6075993798012516,0.31796388664327546,0.28641678356067185,0.26239743897534645,0.6215901309331161,0.19275331326293535,0.0947188445166743,0.04578192966112081,0.6329168576958119,0.25454454106756774,0.6054979520196535,0.2648808819466762,0.13649801849461118,0.3233996488600267,0.39352726350838996,0.21786103755666142,0.27657758870333843,0.39503754116022183,0.4089937723351867,0.24808458404679634,0.1898082722418957,0.086469057161279,0.8478852497075081,0.23307446203237062,0.38596302243085423,0.10917364385335981,0.24042924424442694,0.7620014737759095,0.5258884736014812,0.2890980925624544,0.7853450192120077,0.2522365116110715,0.2908071323205334,0.610538949150958,0.3575317075394805,-0.48700001985153085,-0.11544864703688903,-0.5591025383534918,-0.585350994237634,-0.048411387011085535,-0.1948265002459768,-0.6006365873038454,-0.41976872744056276,-0.4044078738087792,-0.3314201777253122,-0.3172350308208342,-0.22517825499311564,-0.43437253301775935,-0.455208980033527,-0.4766747192077677,-0.2732633975185941,-0.3544318914267939,-0.4056555765686956,-0.3604389662702917,-0.42112898404193433,-0.08817791297028968,0.0950364895797669,-0.15485920612048074,0.046068470487511996,0.04697999759275445,-0.05841179557018919,-0.052476492521429795,0.04850923620982868,-0.17488280066358358,-0.1834584353858674,-0.2708528570740988,-0.07002872940626036,-0.23922689014525947,0.13198271336186793,-0.1292574105447417,-0.04701179134720638,-0.09492399057650457,-0.30360021559192196,-0.031696603074135,-0.14321673822233535,-0.26231059456405714,0.013721653304899929,-0.2202512496596549,-0.4610014137934326,-0.2613226579250158,-0.12633104780874996,-0.13970376764545453,-0.2951018817274583,-0.12483274485576794,-0.2464690401923777,-0.0015673253402345958,-0.37264884654508207,-0.1238334978574275,0.31686477182666134,-0.1528444979654973,0.04340223559448104,-0.41098999138037107,-0.07727223213576567,-0.3376314126667839,-0.05179702135799345,-0.25142912109282384,-0.2661498705257801,-0.1681597829864934,0.022779031402715103,0.052933476403214365,0.333879898967423,0.19706825191100116,-0.012588636689255474,-0.134234511174936,-0.21785300009063005,-0.1322824060697649,-0.0023783976167558057,-0.0786392417667344,-0.07589716007520454,-0.09113880897828763,-0.21029051504307333,-0.04233525240776264,0.07429868367293183,-0.16138184767096161,0.18488290764779938,0.04648094304141758,-0.13710411888267088,-0.02305596460980068,0.31921490531448365,0.06994817391915134,0.2544414428370033,0.02074028656404993,0.1203524541079474,0.002112273940671984,0.19596380911670072,0.02082845175614819,0.08521356368577254,0.3856501445202612,0.3839232591887075,0.1121805760628695,0.11716718009721389,0.0785776249707685,0.04831527183838215,0.05286917598268064,0.01593559769848916,0.2092750455129337,0.07803527286538012,0.13885310647196794,0.08773127759745489,0.3323534421079465,0.0005376299358066068,-0.053869450897155,0.33030092488462054,-0.32061213244872916,0.0002697351318171895,-0.07843719767229533,0.29815996109674153,0.166068864627695,0.05714078702403385,-0.019701334927568048,0.049979729666461394,0.1681629902944933,-0.009979823643273907,-0.02866438018508821,-0.33130930622382443,0.09186719894891109,-0.30789523452387346,-0.00852193092555289,0.009503789837375596,0.06426034239067514,-0.056250280378853774,-0.009205658698011617,-0.18857462692874893,-0.3270559993885708,0.16879269241585573,0.021278960226830183,-0.02809978407518833,0.2814783961551602,0.27101226449174004,-0.07769330772063944,0.024039958531220117,-0.10359790515642678,0.015863547879200777,-0.09245206431355238,-0.006004483424647112,0.036538353631069824,-0.1278092651353023,-0.23761237428194876,0.212800290876348,0.08396995969700206,-0.21572374019058824,-0.15070652341138713,-0.3251954804217023,-0.03763754023342661,-0.2994159999587075,-0.27345368876212206,0.023599876986508447,-0.23726248550169687,-0.299996418479314,-0.0258295176678852,-0.06898176873889092,0.026243661935704567,-0.028367754584551378,-0.06661403413689802,-0.06824723947452224,-0.16624184017896396,-0.10016394608091002,-0.26260489556040384,-0.20299603725465284,-0.1982892701505148,-0.4389447369019792,-0.29195580241862074,-0.19985188984412236,0.23880594447999248,-0.26631231660801263,-0.17819080022053055,-0.009001796672041044,-0.38840873111983476,-0.28798931700232744,-0.03443543990279028,0.3557841647518124,-0.3223529365518018,-0.35871624201548136,-0.3176054336505503,0.08732100417333032,-0.06690239098059789,-0.3318100960282805,-0.246642610344517,-0.3846684135696211,-0.4929322261941325,-0.2882457747170844,-0.16619390153607716,-0.14148200370642963,-0.0033004165382725394,-0.1162472902183293,-0.15424775575203073,-0.3951329538930406,-0.1956286843519252,-0.3719618428083069,-0.433445369684052,-0.26389282419320037,-0.14286138717429517,-0.3696841902265219,-0.21860934464777024,-0.19856838367564836,-0.17757015769149698,-0.778813122688952,-0.18150931121001498,-0.39466569722943196,-0.4349961607423099,-0.24385384698394683,-0.1759212299205538
Digestive-rich,0.8355085573775284,0.18116257073721104,0.3220018016973897,0.375427060596288,0.2125401461587846,0.5842008564505842,0.6129683223650528,0.3258618983530925,0.341715635426911,0.3714384784662701,0.4929730824958987,0.3903825077203132,0.27023256348564995,0.21592554222736732,0.09506066719228608,0.3746926558403142,0.27812795963628184,0.31141274073958924,0.3295711110778939,0.35223055018839466,0.164254791988206,0.5951495862836853,0.2550264812981995,0.38209513054088245,0.19275910543708444,0.27609603196462457,0.4306301531914722,-0.01102342367013278,-0.2758086909073686,-0.2546838001701307,-0.32109236616540754,0.23146389532702882,-0.054911287695393135,-0.03455993529248957,0.15905289867316016,0.10616639872177497,-0.16451499169251216,-0.07356096370975826,0.048578399410545536,-0.27339747912838,0.17629910444861907,-0.18467615061165135,-0.3237740021432796,-0.009908783338968387,-0.019918518962678225,-0.4735512055944237,-0.12822848274305448,-0.2956531011886956,-0.14759773749924748,-0.18584858148950964,-0.3130821116870129,0.05358625032707282,0.01080318100001554,-0.41318494689196483,-0.17509044215076625,-0.18852057354547533,-0.25038802438974506,-0.4542092910300871,-0.03108391193561496,0.07648467208805666,-0.178944307200912,0.18604156275104508,-0.2705555311543499,-0.02399919031619833,-0.4240742681784992,-0.2739437563562134,-0.17559684589754274,-0.4962805792412195,-0.4721195663749623,-0.23059588834512978,-0.29535593051471026,-0.2526897158672791,0.05176242543629111,-0.07824557757911785,-0.12164893872288171,-0.2270367213844555,-0.24997843717068594,-0.18630666302436172,-0.29326636114215493,-0.2657211099294828,-0.5639668738583055,-0.23224355820480935,0.0005013132263493325,-0.2721672907060315,-0.038217349950852,0.017645475015861736,0.15265709192321486,-0.336987300535871,-0.20629940253232948,-0.22181500814364757,-0.12145598832406622,-0.08746740053946717,-0.009623129692242683,-0.2263485683979853,-0.0074624188426687214,0.12193062852297995,0.006107848581019835,-0.09934059948576633,-0.21818313890188515,-0.002983736424221445,-0.057863264686612396,-0.08307899128147885,-0.10541209750766989,0.1936567617627958,-0.3385167400048198,0.05515187456594181,-0.1517523334177274,0.0590053501822632,-0.15125562064243986,-0.03873813299912716,0.26251410911223394,0.17423607045107695,0.028935784710948514,0.23928577150936348,0.060864370810850214,-0.08105622923820295,-0.01882840458234888,-0.036687655014389024,0.13686511913987262,-0.13073672555597632,0.18572039550684724,-0.09153167069101041,0.3385632266818567,0.16548133437726922,0.03822520281527129,0.01447501645796609,-0.2501382887103681,0.13273700127294924,0.16238177424049252,-0.06786760544422474,-0.061047636826713644,0.37805688855311637,-0.037276206235002406,-0.09522762514117478,-0.05586930527421058,0.31308418177620284,0.32375344319270444,0.20315439367875784,0.20908567551515958,0.2775055535547254,0.1529690847215032,-0.2880332443186105,0.23250743574056393,0.08790397694666692,0.2095192662890087,0.20771395745323512,0.10364158914584093,-0.1629800194828687,-0.14156895636153172,-0.08112067449652798,0.19252896796361654,0.37955812170442976,-0.06087005205626175,-0.002071923379699641,-0.12063968004894411,0.009987210917501956,0.2059880195882749,0.0954159407615761,0.26455465685089347,0.18421561451802798,-0.11093008523818765,0.1795182007323777,0.02674631209624361,0.42530435043909504,-0.10130555857379211,0.21504747497714688,-0.30669708635919807,-0.6886266081618737,-0.18996317396692186,-0.3511706825461686,-0.12642215407708404,-0.6841370798534913,-0.5000299430208417,-0.9502552665456568,-0.3992744940402164,-0.7916646022594843,-0.31195493915389244,-0.49470968477085253,-0.6352440302446218,-0.5659232517994095,-0.9367442916427942,-0.5155530725179517,-0.6233076722403231,-0.19653062964807777,-0.5340683746490275,-0.29490345890477826,-0.6281734472808909,-0.309159764265572,-0.585846523322115,-0.31100368821165275,-0.48554449736980143,-0.6739011250256897,-0.859301269661742,-0.2543286159551221,-0.45414571880528765,-0.511897984584033,-0.36850837507820394,-0.3517026111851382,-0.5506363785672167,-0.8172096533102498,-0.12635533342939353,0.21792864015485508,0.138448981429797,0.18164718386529324,-0.007314598234217384,0.4403351087441585,0.34545394426302223,0.35979101973841016,0.3357817872136574,0.44239990479863295,0.22913127956883445,0.1391414611719927,0.1069644145716966,0.36447894937306863,0.2391584414691962,0.4693836218826294,0.3973758107908258,0.31239304895112796,0.09724282816911559,0.4406074796829175,0.24884174080598775,0.23721456776859665,0.11956879788023027,0.1810737413883915,0.6223881599481202,0.06719830188116085,-0.08360506180648997,0.6362768155882655,0.07774530043138271,0.10119268886547421,0.22693760731051968,0.3809092113709944,0.36327186593590455,0.9219074236060809,0.19999823320976473,0.5070060236252569,0.4748475716322462,0.5692996574941088,0.828479815704798,0.4879101591256596,1.0408474647847556,0.7274869077593971,0.6796010565614584,0.3208808040757303,0.21784962800010757,0.29976477597150647,0.41600509902307853,0.4083243579055018,0.3529396650467783,0.5668972824346321,0.5399020312365184,0.1847174357022436,0.7244369616111468,0.6179524498397174,0.490601745712403,0.0031252643564691975,0.04048244144449588,-0.21618036656437417,-0.15314244622309434,-0.04167109187645126,-0.0541443262288528,0.19419315321900857,-0.060956964628965944,-0.2101851131311586,-0.0729461044105881,0.01855245840450308,0.20702122204834503,-0.18577829256123843,-0.22744652802603568,-0.12355132896579563,-0.12906396509186827,-0.1303752242185341,-0.035393294522162055,-0.050253541607853586,-0.106048869998925,-0.22055225912258244,-0.25902847238625043,-0.1386822147086073,-0.21369382051830807,-0.062063715966705256,0.06561060161757347,-0.04347979886804839,-0.05406467630506204,-0.08005625850710454,-0.04633834382441761,0.01274185481782633,-0.04551692862281286,-0.17678301457962678,-0.08219479025089715,0.05309186090402332,-0.10087439248852066,0.325137221814281,0.12854915769845054,-0.15800716422463215,-0.0555527095424493
Lung-rich,0.11797270968494863,0.7042551502293759,0.2960663976593561,0.12219251370228106,0.3945382548434396,0.23225437140676675,0.5862727862292717,0.05944917778141277,0.3077644788303641,0.44888722862506686,0.37471627679109526,0.7163644788910379,0.5115985271503755,0.24520263878777007,0.5327087622051224,0.6068480384580378,0.5582526220815193,0.7475043905402987,0.5648472949923427,0.4431204465034805,0.4052485188565421,0.3315266632346066,0.5207687263878071,0.21132367788874232,0.3471815987069499,0.3146341668547077,-0.11109655935130124,0.20903684824605145,0.30396644714571014,0.0508561112953136,0.06395721372946048,-0.03410104305543833,-0.13104889885324392,0.10289136638365587,-0.15077598692738287,0.049459165029940695,0.15902235533093462,0.03834154592749793,0.13423076522596067,0.10878277474161342,-0.07762118177957839,-0.05071969965582503,0.25138720512130824,0.07527162876982699,0.09977388700928025,0.3924122304574039,0.30666198994090016,0.21292652405751886,-0.11071520783622657,-0.15511142095998898,-0.05103488695462485,-0.0027573482606119545,-0.3047078648382046,0.34536779187933536,0.10487479803122289,0.6080366207238507,0.7989976948427222,0.554792712621033,0.2038771672562133,0.6314858937684836,0.35251738910081665,0.371832500558924,0.40321943591211024,0.5073160009421293,0.5403891947018128,0.6595429491241236,0.39669384903844596,0.4964834080341102,0.6815299873132558,0.47777510483611524,0.40532608070233417,0.3911145256500174,0.4013615055563028,-0.15661419324813763,0.614164283689375,0.16150380742631787,0.7022907364879611,0.5540268275286532,0.4756387986703203,0.45702916383144326,0.3578824998238777,0.4037183016130552,0.5535349724361539,0.33938737081833553,0.31666495909611087,0.42549497824348026,0.37287256596872725,0.4692128514461855,0.09903845899125038,-0.11674153553055401,0.23786682940523823,0.24754996229007134,0.2621423495080825,0.22723866221555822,0.16788676890645488,-0.1636776187493035,-0.05536153918489296,-0.3256686655241793,-0.16575687856988355,0.021675007687922215,0.05531147830017562,0.23206881108070548,0.24828978370840127,-0.113608386327365,-0.2140282717629703,-0.361456617070768,-0.005588735375491248,0.02122707872613116,0.021318484277776967,-0.07789322898466082,-0.0705113561100355,-0.03823757146335297,-0.09846083793849486,-0.30605459644223415,0.15739419583332995,0.09406939727840868,-0.1296836530242568,-0.12640326816435726,-0.2233575688534927,-0.21895660613442655,-0.20553201067545637,-0.09859354258258862,-0.2955050016298751,-0.12178066076549411,-0.23285909254542103,-0.12453912045341722,-0.04551529354640038,0.08344126371767839,-0.2089119363564073,0.07174968808854428,0.15824677304679385,-0.231147455102894,0.19995140470581219,-0.11204568589345455,-0.09844704534666907,-0.3669998977103412,-0.1643700612381152,-0.02240295101648358,-0.03787131568623179,-0.10964294988622726,-0.04702978448356197,-0.22137701256273276,-0.3141013880994133,-0.014864823401125946,-0.17224319137061364,-0.43774431556161153,0.05125418688037202,-0.05879992583700032,0.16172777194643673,0.11099732125020954,-0.19726711253260906,-0.4590760439296206,-0.14731870760447263,-0.08930304770789103,-0.11465831950424926,-0.27156882881206285,-0.29634096174999336,0.006107002131332244,-0.027657262455122972,-0.20178470380592986,0.266179695740234,-0.23369111067913406,-0.36242330957593466,-0.17867458225152086,-0.32988023303781216,-0.13731516178921022,0.19222338067329187,-0.10579629850450434,-0.15901944065401102,0.11827736441479637,0.03136339677348165,0.2642446318079798,0.006237948197980769,0.2630435558687476,-0.1434831031657743,0.1629710522659653,-0.20088688745193978,-0.00993054806267316,0.18112598712387679,0.19666611511540574,0.17483140471051828,-0.023829096306835135,-0.024773599307060457,0.3636950027339747,0.2243991140163126,0.05270197657854993,-0.18355101929920245,0.12902531139859905,0.25009128679539877,-0.06482647423954772,0.22233717690286106,-0.12074042420194052,0.026570551531351294,0.24417784673885648,0.007371334937965492,-0.04944400452110506,-0.2160951004935554,0.18001257515796512,0.020355769691029247,0.16374936538857132,-0.043328231539319126,0.32719892524246535,0.2654427115215318,0.09333090326717601,0.9825545604721455,-0.07508195065635082,0.1329978750898287,0.1605859063651724,-0.014218517132291579,0.06131507818614812,0.17183241274798838,0.05819464575040635,0.26655748747573865,-0.11982135992734338,-0.045672607906901315,0.4831143947930272,0.500593272384719,-0.01705979312622321,0.24322065716330488,0.1517024500430176,-0.06011176820831349,-0.016647503580204934,0.005552999257071895,-0.06975871442434486,-0.008124139730458531,0.2724530211773678,-0.13335449266798732,0.04299632578474025,0.2675422440359148,0.31641067245706084,0.13498412428639348,-0.01900738415585287,-0.12532384781783762,-0.32996241201559734,-0.15430769515984705,-0.09338381551236731,-0.2500233540991567,-0.2184072359046957,-0.259570467071111,-0.3167532858172845,-0.4175406148231026,-0.4179622205955886,-0.2123664719125166,0.027265590659916673,-0.13367311435235132,-0.1339765448367778,-0.1153117189768117,-0.22930498903270893,-0.4183013325417956,-0.3176254598058891,-0.25554813060871306,-0.3416802445341779,-0.27967774078649166,-0.3377023252972945,-0.15360625505975828,-0.20421075502302452,-0.463119968417075,-0.37896865911919003,-0.17639663567112057,-0.34926947466750025,-0.14402041180820857,-0.23776242397086558,-0.38193058538312574,-0.5259895640629303,0.040282125348934515,-0.5823918993352067,-0.2843948375011906,-0.2936109791820963,-0.22893479051274915,-0.1977591173801742,-0.27045908679172614,-0.36061474161087514,-0.13829930010495048,-0.3153727614603518,-0.3175299127554849,-0.17930267524659935,-0.1977378590998526,-0.3505317036719196,-0.3412427241959291,0.01986125364069112,-0.443095260915622,-0.2595339467627653,-0.0815824960100275,-0.3316116907305466,-0.13691812599664122,-0.2224502446799377,-0.1464263208211033,-0.15749460954326958,-0.31576597282894187,-0.48211402690875027,-0.11590053583263019,-0.3386918089270287,-0.29347831585141154,-0.47412408593341143,-0.1559552709010232
Mixed,-0.19008944370802777,0.06334222651147747,0.2959306803625031,0.11942407820943268,-0.0370919025196193,-0.011484418927067638,-0.33978719384753314,0.05686731863346796,0.14193500596952116,0.11918893513640948,0.22018047001434943,-0.14001689817799412,0.05770749457498325,0.26481591505745017,0.12899639056737344,-0.015372462655765615,0.2536331354835496,-0.1822048257804312,0.24121485302184667,0.14217367437790035,0.003847834847194353,-0.08687347071284192,0.16516265049873602,-0.030393588717762564,0.22295978182173562,0.15529411310673516,0.366088852718975,-0.1704383117757759,0.454573354219039,0.3556383634770872,0.2571155901267322,0.08751161562627532,-0.07005906752190996,0.06926761965290716,-0.28223252596934917,0.27982553418553197,0.5751701123737756,0.15944871334001695,-0.011322703370050086,0.15652906472673805,-0.15392024629321255,0.16792824335804188,0.14292479863330848,-0.12749734922451322,0.13248180146971641,0.4201951007918639,0.38037978682639056,0.44914291402027234,0.3014759154387496,0.166993696603201,0.36847702623058143,0.19976855053841872,0.17127789920150704,0.24845596076082682,0.021927776931436705,0.5316466316665265,0.17501934038209074,0.43940544487255123,0.25112553994572745,0.26733360660811173,0.6006015685990592,0.14411857460270722,0.5340248608417317,-0.038238317341194025,0.5132881720736818,0.5201236675501463,0.14622537509035252,0.42500410344930384,0.49205585271417235,0.465327445627374,0.3973830534035326,0.5093827561347096,0.18007616512419355,0.4306829773526349,0.34553606425817096,0.20514945468237353,0.37370037114867455,0.34401697630957706,0.28209026949130356,0.2084251985170473,0.49079099617277133,0.13245057160730112,-0.07239178679502677,0.3548321642864661,0.15648250556453347,0.0025946960224597585,0.24591140456032823,0.2915494672653372,-0.34945735756826574,-0.5067812952632346,-0.41820418705683515,-0.346510669076357,-0.2181386145892843,-0.22610240583400548,-0.25875423582145257,-0.41348773034416336,-0.14265290967640235,-0.3622494393166614,-0.25888116440972736,-0.4186061123586424,-0.39939996155522745,-0.43444019188946764,-0.3326154068580274,-0.5149096961054946,-0.38375564041707083,-0.3927466288271243,-0.34547052544823925,-0.47318721434911165,-0.24595057234798806,-0.2779518954538766,-0.05951852782378644,0.1821297309750482,0.09266115870329153,0.06768026253649431,-0.0804412936759643,-0.2067425580941271,-0.25732253974842273,0.07664560562453626,-0.27051176915012315,0.23337102609917335,0.04848812276643624,0.042669988585281475,0.09876911448387883,0.043863901372906765,0.24373773163640458,-0.108119863822272,-0.05144688777952987,-0.025403787155978137,0.11978435617937502,0.14349938110300114,-0.14968963309601951,-0.09470642067696543,0.14082574551206908,0.04564470647264156,0.129293987123521,-0.2905647750615238,-0.019816600912035524,-0.08611844378223804,-0.0997477750547764,-0.041744019208712346,-0.06467316482915574,0.33415170230219693,-0.009209945538204006,0.14330217451477217,0.1520643990473814,0.07625161370746193,0.10533810741622247,0.11420280570770369,-0.27305508587557,0.31816345621478825,-0.024783401844219736,-0.02822888120170848,0.2868647565254659,-0.1920271460824439,-0.0075116293188988055,0.22561561955106949,0.09245122214841232,-0.32720688416467303,-0.2264255429453999,0.07346049831064808,0.18588408048219876,-0.2680684527777244,0.3024527171535004,0.07711050936874539,0.06543838388481203,-0.048725878623180945,0.420861058613938,0.2576065855465702,0.21497778755572336,0.3700087698874807,0.1894319659965962,0.2565179239178221,0.19560919978069344,0.4923612457267045,0.16077376046862998,0.6674264762357397,0.34885415570234857,0.40883303684411204,0.49452081345184906,0.4529590977219348,0.5059894589133684,0.33069066306823636,0.6171477463497322,0.13114709530878324,0.5411271119839262,0.40018703210951845,0.30650628845590927,0.3459385267621729,0.342286633621449,0.09618768382629045,0.23724409889493633,0.34451008166902614,0.4407193309977712,0.30029708311561115,0.6130843482276264,0.5198601678424984,0.44537790016213974,0.07319644657433559,0.504430414490839,0.566316062287143,-0.081654168874509,0.29915280580363535,-0.019584355075266575,0.02366028030608961,-0.20448051884067195,-0.04264301090361562,-0.08794809794824887,0.0041148300878061,-0.15163135758091043,-0.33360628141215687,-0.15794503955586592,0.08923356066176467,-0.32239638512311397,-0.04732725356965796,-0.04679865784100552,-0.1709456310192585,-0.09819302554882137,0.18242082261849996,0.055806076887603064,-0.20116286637096517,-0.10098433767436285,-0.11158016843061805,0.505858826117902,0.1225990708144042,-0.36070472145061444,0.1231867129006569,0.1419867190254686,-0.42891648164447405,0.1428971017657762,0.007547993427379933,0.10185244564476786,-0.32398993986697266,0.012746618058421998,-0.5487883036218802,-0.2916711834390868,-0.2793661920982305,-0.11472440247992716,-0.42996110028737794,-0.6548993882270143,-0.3788693123030095,-0.6252706268233187,-0.7730206448262467,-0.28771621340402315,-0.12828583665845172,-0.09767718174463691,-0.4711531310360227,-0.4592618489042095,-0.488532266340319,-0.48624463702386367,-0.1674764260370772,-0.06519799599508336,-0.1557834461119468,-0.17642802749990769,-0.4031016833776662,-0.3368600248138008,0.15016504029141828,-0.3154273861599286,0.2269832871122111,0.051937516145521924,0.22479535108137746,0.038623502226328606,-0.19105815551627484,-0.1033989736264936,-0.12714958596054435,0.1631572383495262,0.16857053561853413,-0.17839506421555473,-0.02211466615078283,0.1967525381693983,-0.14633621748658784,0.05591553004440634,-0.21714335327674175,0.22465320422207413,-0.2581035020281015,-0.06845024574409886,-0.17137419301588802,0.1801950564396858,-0.046325446139431556,0.0758690888770921,-0.03396351541221591,0.17724875500413506,0.02415986244321429,0.14158005567747745,-0.25713194079254903,0.06929561589557506,-0.27108223326677283,-0.18411589191096686,0.1511587316385753,-0.26291286969145605,0.3059193999007115,-0.16785130883256505,0.0534970518403917,-0.09936475319802461,-0.0995825392262027,0.02795675362082983
