Proteome cluster,Stage I,Stage II,Stage III,Stage IV
BRCA-rich,24.0,24.0,22.0,30.0
Digestive-rich,9.340659340659341,12.087912087912088,20.87912087912088,57.692307692307686
Lung-rich,25.609756097560975,12.195121951219512,25.609756097560975,36.58536585365854
Mixed,30.967741935483872,16.7741935483871,25.806451612903224,26.451612903225808
Reproductive-rich,51.162790697674424,10.852713178294573,17.829457364341085,20.155038759689923
Urinary I-rich,21.965317919075144,16.184971098265898,19.653179190751445,42.19653179190752
Urinary II-rich,49.60629921259843,14.960629921259844,18.11023622047244,17.322834645669293
