,BRCA-rich,Digestive-rich,Lung-rich,Mixed,Reproductive-rich,Urinary I-rich,Urinary II-rich
STAD&CRCA,0.7816399286987522,2.0075,1.0294811320754718,0.7857337697763229,0.5402965828497743,1.044155844155844,0.7892045930768586
LIHC,0.0,11.237113402061855,0.0,0.2653846153846154,0.30771812080536914,0.22474226804123712,1.1895674300254453
PAAD,0.0,10.107260726072607,0.9116809116809117,0.0,0.0,0.5057273768613975,0.7886382623224728
CHOL,0.0,5.464824120603015,1.6591304347826088,0.6703869047619048,0.0,0.5673575129533679,0.41397611676249446
ESCA,0.9227742252828333,0.8346534653465346,5.080906148867314,0.4044219253800092,0.46991104133961276,1.2595307917888563,0.1672473867595819
LC,0.7968334982552993,0.6439393939393939,2.38177304964539,0.9537037037037037,1.2016194331983805,1.059350503919373,0.6575221238938053
RCC,0.9165337586390218,0.491025641025641,0.5244992295839753,1.475138888888889,0.5055418719211823,1.9254807692307692,1.5008849557522124
BLCA,0.7018348623853211,0.5343195266272189,0.48746043340637935,0.2629573170731707,2.4119318181818183,0.6383495145631068,4.106401934580629
TGCT,0.6027131782945736,0.1831357048748353,0.1754985754985755,0.11466140696909928,6.538411458333333,0.8143753409710857,2.0542114695340503
CECA,0.45789473684210524,1.051219512195122,0.42735042735042733,4.604178430265387,1.1044417767106842,0.0,0.7870370370370371
OVCA,1.2632275132275133,2.144278606965174,0.35154217762913414,0.22999742732184203,0.8901846452866861,1.9164580725907385,0.3040209218698921
BRCA,6.789049235993208,0.2556163048773886,0.5168759811616954,1.7824048538334252,1.1585365853658536,0.13264627659574468,0.7077272727272728
ML,0.5287766990291262,1.5287734487734488,0.7933884297520661,1.7819861757652702,0.2179418103448276,1.3927625772285968,0.7457988980716254
HNCA,0.9767676767676767,0.4642094017094017,0.9116809116809117,0.5969756738987508,2.7113702623906706,1.9754464285714286,0.0
THCA,0.9767676767676767,0.0,2.0711206896551726,13.083844580777097,0.0,0.0,0.0
SARC,0.5454545454545454,3.007920792079208,0.5090811965811965,0.7158730158730159,0.0,1.9298245614035088,0.44031954887218044
others,0.6642703091301222,1.429059829059829,0.6187584345479082,0.8940329218106996,1.3835403726708075,1.565377532228361,0.25224466891133557
