Gene,Spearman rho,spearman_pvalues,-$\mathregular{Log_{10}}$(p-value),hue,size
CALR,0.11276241260644589,0.33878936944691085,0.4700702254457534,zother,zother
CAMKK2,0.10867488622354872,0.3566982861362483,0.4476989773545483,zother,zother
CAMP,-0.052451732874565726,0.6594182851951393,0.1808390143520299,zother,zother
CAP1,-0.04769419611864128,0.7198105946349453,0.14278176541076426,zother,zother
CAPZA1,-0.014517265680056377,0.9254830952384194,0.03363150960877855,zother,zother
CAT,0.02732422527697566,0.8172423139249381,0.08764915522074568,zother,zother
CAVIN2,-0.005878734035199084,0.9657011007748935,0.01515727355466027,zother,zother
CCDC88B,-0.31043654287220285,0.0336938015140776,1.472449986838788,zother,zother
CD109,0.0273852478020268,0.8232514162943598,0.08446751346962748,zother,zother
CD14,0.0022807212426310306,0.9846133440247724,0.006734282724288207,zother,zother
CD163,0.15032883700294256,0.23959428461306698,0.6205235460098214,zother,zother
CD248,0.26579149975221983,0.08888744992101137,1.0511595530321378,zother,zother
CD44,0.1096375283064774,0.35242892836335493,0.452928450677298,zother,zother
CD5L,-0.006368247625528202,0.9570549720954109,0.019063116149976474,zother,zother
CD93,0.14780589784447476,0.2120585521592492,0.6735442080867297,zother,zother
CDH1,-0.09363477889710166,0.43073116338418116,0.3657937059105362,zother,zother
CDH13,-0.4016735165106416,0.0003894479830902252,3.40955054098367,zother,zother
CDH2,0.24095511703944855,0.0477712076358825,1.3208337797974359,zother,zother
CDH5,-0.1138583435931647,0.3340854776788599,0.4761424022457715,zother,zother
CDHR2,0.19482257452291676,0.14278200926089327,0.8453265108437445,zother,zother
CEACAM8,0.08619240752583711,0.48130814959629376,0.31757678470798184,zother,zother
CEP250,-0.3087686848469325,0.03471106229596629,1.459532094994198,zother,zother
CETP,-0.020447802612926544,0.885593824210765,0.05276542072072715,zother,zother
CFB,0.28938502000656063,0.012392717308951796,1.9068334569093013,zother,zother
CFD,-0.26871043004089235,0.02061656397282381,1.6857837140276204,zother,zother
CFH,-0.18927024338197773,0.10629333986984142,0.9734939466563135,zother,zother
CFHR3,0.0408464616212263,0.7427697302452773,0.12914580317580487,zother,zother
CFHR5,0.27110963030911456,0.01946992740789751,1.7106356677099792,zother,zother
CFI,-0.041067792245557455,0.7282828232677924,0.13769993286872062,zother,zother
CFL1,0.0022948137228181423,0.9852955133694892,0.006433494804213016,zother,zother
CFP,-0.10769338449020348,0.37486978815988004,0.42611955921611555,zother,zother
CGREF1,0.050915962447846,0.6755122243340779,0.1703667874076084,zother,zother
CHGA,-0.005746534339503644,0.9640542621327525,0.015898520991759323,zother,zother
CHGB,0.10625240340466413,0.42729444519368864,0.36927275295254297,zother,zother
CHI3L1,0.33302304931881843,0.009322468099033749,2.0304690940956243,zother,zother
CHL1,-0.21905290843997124,0.06077527263404163,1.21627308426259,zother,zother
CLEC3B,-0.3624865787963448,0.0015044362247427076,2.822626217913518,zother,zother
CLIC1,0.027655581927016195,0.8367338144039328,0.07741267978649195,zother,zother
CLU,-0.40768632705939617,0.0003117648443548434,3.5061728588825742,zother,zother
CNDP1,-0.18456070211472664,0.11544630121851894,0.9376199768751703,zother,zother
CNTN1,-0.37451219989385387,0.0010113774813702353,2.9950867202956437,zother,zother
COL12A1,0.15328077793507972,0.3650746030093803,0.4376183783801163,zother,zother
COL18A1,0.058025102783301155,0.6233790636161787,0.205247787732344,zother,zother
COL1A1,0.22789529434630212,0.14663013014696663,0.8337767799536993,zother,zother
COL1A2,-0.02981182613648079,0.8476646573296899,0.0717759240111131,zother,zother
COL6A1,-0.11387315347136359,0.3340221952796635,0.47622467400515145,zother,zother
COL6A3,0.15825835843347527,0.17807142665658013,0.7494057618445463,zother,zother
COLEC10,0.0058352057445871346,0.9614803617095319,0.017059581824133,zother,zother
COLEC11,-0.1822651709938967,0.12012202984069413,0.920377337635525,zother,zother
COMP,0.061001888301280616,0.6056410687194836,0.217784682858203,zother,zother
CORO1A,0.11605160523573253,0.36506766331348983,0.4376266339537776,zother,zother
CORO1C,0.38296018962286815,0.013461035450551556,1.8709215320017283,zother,zother
COTL1,-0.31201470032879336,0.0601068903783452,1.2210757396151235,zother,zother
CP,-0.11365100529838006,0.3349722258759137,0.4749912008702632,zother,zother
CPB2,-0.058410159616472626,0.6210722245862812,0.20685789271329508,zother,zother
CPN1,0.1494020512705314,0.20391763057596457,0.6905452238008635,zother,zother
CPN2,-0.10405420422549104,0.37763221917333223,0.4229309592567665,zother,zother
CRISP3,0.07631578947368421,0.6442532712286102,0.19094336761923433,zother,zother
CRP,0.5124217856820368,3.053333538904795e-06,5.515225751812113,zother,zother
CRTAC1,-0.15183087129515146,0.19657751409676535,0.7064661612861682,zother,zother
CSF1R,-0.04673997559573722,0.6925155740142592,0.15957045528532088,zother,zother
