Exp,Sample type,ACTB_large_than_C8G,ACTB_large_than_MST1,ACTB_large_than_RPRD1B,ACTN1_large_than_ENO1,AHNAK_large_than_BLMH,AHNAK_large_than_CAMP,AHNAK_large_than_LAMB1,AHNAK_large_than_PKM,ALDOA_large_than_THBS1,APOD_large_than_FN1,BLMH_large_than_CAMP,BLMH_large_than_PKM,C1R_large_than_C2,C5_large_than_C7,C6_large_than_C8G,CFL1_large_than_ICAM1,CFL1_large_than_LDHB,CLIC1_large_than_LAMB1,ENO1_large_than_GDI2,ENO1_large_than_HNF4A,ENO1_large_than_ICAM1,ENO1_large_than_LDHB,FBLN1_large_than_PSMC1,FN1_large_than_PROS1,GDI2_large_than_TAGLN2,GSTO1_large_than_LCP1,GSTO1_large_than_MYH9,GSTO1_large_than_TGFBI,HNF4A_large_than_PKM,HSPA8_large_than_PKM,ICAM1_large_than_MYH9,ICAM1_large_than_TPM4,LCP1_large_than_TPM4,LDHB_large_than_TAGLN2,MPO_large_than_TIMP1,MST1_large_than_PSMC1,MST1_large_than_YWHAZ,MYH9_large_than_TGFBI,PCBP2_large_than_SERPINF1,PKM_large_than_S100A8,TFRC_large_than_YWHAZ
Exp081479,CRCA,-1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,0,1,-1,-1,1,-1
Exp081486,CRCA,-1,1,1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,1,1,-1
Exp081487,CRCA,-1,-1,0,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,-1,1,1,1,1,1,1,1
Exp081599,CRCA,-1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,-1,1,-1,1,1,1,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,1,-1,-1,-1,-1
Exp081600,CRCA,-1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,1,-1,-1,0,1,-1,-1,1,0,1,1,-1,1,-1,1,-1,1,0,0,1,1,0,1,-1,-1,-1,-1
Exp081612,CRCA,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,0,1,1,1,1,0,1,1,-1,1,-1,1,0,1,1,1,1,-1,0,0,-1,1,1,0
Exp081591,CRCA,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,0,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,1,1
Exp081590,CRCA,1,1,1,1,1,1,1,-1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,0,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,0,-1,1,1,1,-1
Exp041928,normal,-1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,1,1,0,1,1,1,-1,1,1
Exp043388,normal,-1,-1,-1,-1,1,1,1,1,1,-1,1,-1,-1,1,1,0,0,1,0,-1,-1,1,0,1,0,-1,-1,-1,1,-1,-1,0,0,-1,1,0,1,-1,-1,1,1
Exp042197,normal,-1,-1,-1,-1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,1,1
Exp042198,normal,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,0,-1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,0,1,-1,-1,0,1
Exp042199,normal,-1,-1,-1,0,1,1,1,1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,1,-1,-1,1,1
Exp042200,normal,-1,-1,-1,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,-1,-1,0,-1,-1,1,1,1,-1,-1,1,-1,-1,1,1
Exp042201,normal,-1,-1,-1,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,0,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,0,1
Exp042202,normal,-1,-1,-1,1,1,1,1,1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,-1,1,1,-1
Exp041935,normal,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,-1,-1,-1,1
Exp043353,normal,-1,1,-1,-1,-1,0,-1,-1,1,-1,0,1,-1,1,-1,-1,-1,-1,1,0,-1,1,-1,1,-1,-1,-1,-1,0,-1,1,1,1,1,1,-1,1,-1,1,0,1
Exp043377,normal,-1,1,-1,0,1,1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0,0,0,0,0,1,1,-1,-1,-1,0,-1,1,1,1,1,1,0,1,-1,1,1,1
Exp042254,normal,-1,1,-1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,-1,0,1,-1,-1,0,1,0,-1,-1,-1,-1,1,-1,1,1,1,1,0,1,-1,-1,-1,1
Exp042255,normal,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,-1,1,1,-1,-1,1,0,0,1,1,-1,1,0,-1,-1,-1,0,-1,-1,1,1,1,1,-1,1,-1,-1,1,1
Exp042256,normal,-1,-1,-1,-1,1,1,1,1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,1,1,1,-1,1,-1,0,-1,1,1,1,1,0,1,1,-1,1,1,1
Exp042257,normal,-1,1,-1,1,-1,-1,1,1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,-1,-1,0,1,1,-1,-1,-1,1,-1,-1,1,1,1,1,0,-1,1,1,-1,-1
Exp042258,normal,-1,1,1,1,-1,1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,1,0,-1,-1,-1,1,1,0,-1,1,-1,1,-1,1,-1,-1,-1,1,1,1,-1,-1,1,-1
Exp042260,normal,-1,1,1,1,1,1,1,1,-1,-1,1,1,-1,1,1,-1,-1,1,1,-1,-1,-1,0,1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,0,1,1,-1,-1,1
Exp042261,normal,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,1,1,-1,1,1,1,1,-1,1,1
Exp042262,normal,1,1,1,1,-1,-1,1,-1,1,-1,1,1,-1,1,1,1,-1,1,-1,0,-1,-1,0,1,-1,-1,-1,-1,0,1,-1,-1,1,-1,-1,0,1,1,1,1,1
Exp042263,normal,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,-1,1,1,0,0,0,1,-1,-1,-1,1,1,0,-1,-1,-1,1,0,-1,0,0,0,1,1,1,-1,-1,-1,-1
